;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Agnadello, Marconi, 6;61.0;47844.0;15755.0;67123.0;20433.0;18977.0;8718.0;49814.0;20998.0;10.848;100.8;36207.0;31652.0;57646.0;83343.0;21008.0;20614.0;50.2;59426.0;10245.0;31998.0;66982.0;71462.0;46585.0;94.61;83344.0;27537.0;24886.0;96983.0;11178.0;11178.0;22603.0;107.11;47871.0;11354.0;5219.0;64101.0;75982.0;89121.0;568225.0;44108.0;55263.0;113564.0;19577.0;23168.0;102188.0;6887.0;31213.0;38891.0;89927.0;89045.0;18203.0;50.75;88822.0;30751.0;39458.0;72.138;10483.0;10596.0;35285.0;12619.0;5003.0;72047.0;59817.0;64234.0;64234.0;107757.0;107757.0
Annicco, Giuseppe Garibaldi, 6;46623.0;0.0;33759.0;25454.0;36706.0;29716.0;41926.0;7866.0;35287.0;34.752;59131.0;26511.0;15663.0;14415.0;41674.0;26109.0;26538.0;8531.0;17757.0;41438.0;16731.0;25313.0;29793.0;5796.0;52941.0;41675.0;20244.0;22.08;55314.0;37759.0;19662.0;24361.0;40853.0;11.0;11.0;41946.0;22432.0;34313.0;47452.0;530829.0;15218.0;31571.0;71895.0;31019.0;24869.0;60519.0;49685.0;20751.0;20751.0;48258.0;47376.0;36448.0;9081.0;47153.0;19865.0;6336.0;30.469;44882.0;35246.0;12981.0;36472.0;46184.0;30378.0;18148.0;22565.0;22565.0;40561.0;40561.0
Bagnolo Cremasco, Roma, 3;15212.0;34788.0;0.0;54067.0;23084.0;5.5;16992.0;36407.0;21665.0;10.456;87744.0;29767.0;18596.0;44.59;70287.0;8132.0;9975.0;37144.0;46.37;10027.0;19.07;53926.0;58406.0;33529.0;81554.0;70288.0;14609.0;11958.0;83927.0;3526.0;3526.0;14918.0;69466.0;34815.0;5261.0;8413.0;51045.0;62926.0;76065.0;551121.0;29508.0;51001.0;100508.0;17397.0;10.24;10.24;18274.0;18285.0;18285.0;76871.0;75989.0;16884.0;37694.0;75766.0;25927.0;26.53;59.082;13471.0;8752.0;22357.0;2833.0;14731.0;58991.0;46761.0;51178.0;51178.0;69174.0;69174.0
Bonemerse, Roma, 25;67066.0;26.37;54175.0;0.0;57149.0;50159.0;57181.0;21456.0;55.73;55.195;36041.0;53135.0;36106.0;14591.0;18584.0;46552.0;46981.0;16729.0;6.33;61881.0;40311.0;9518.0;14684.0;26513.0;27395.0;23693.0;44198.0;42523.0;32224.0;58202.0;40105.0;48315.0;22714.0;26397.0;57123.0;60275.0;9817.0;16331.0;29.47;522045.0;33748.0;36431.0;48805.0;51462.0;45312.0;37429.0;70128.0;45019.0;30833.0;25168.0;24546.0;56891.0;18599.0;24063.0;42701.0;31929.0;7.379;65325.0;55689.0;37235.0;56915.0;61439.0;12396.0;6563.0;3637.0;3637.0;22579.0;25758.0
Camisano, Trieste, 57;20626.0;33449.0;23002.0;57.64;0.0;20002.0;16348.0;34731.0;5032.0;14.954;91317.0;40289.0;22169.0;43643.0;73.86;14195.0;14351.0;40717.0;49943.0;24303.0;18.87;57499.0;55.92;37102.0;85127.0;73861.0;14658.0;15403.0;87.5;22091.0;23378.0;10274.0;62951.0;33476.0;18167.0;20696.0;54618.0;62.58;79638.0;560387.0;35953.0;40.18;104081.0;7674.0;17834.0;92705.0;21949.0;16062.0;29408.0;80444.0;79562.0;5.86;41267.0;79339.0;17331.0;29687.0;62.655;27766.0;15448.0;22157.0;20804.0;15047.0;62564.0;50334.0;54751.0;54751.0;67091.0;81034.0
Capergnanica, XI febbraio, 7;19574.0;30975.0;6145.0;50254.0;19812.0;0.0;15242.0;33048.0;18393.0;12.073;83931.0;26618.0;14783.0;40777.0;66474.0;6235.0;5402.0;33331.0;42557.0;14389.0;15798.0;50113.0;54593.0;29716.0;77741.0;66475.0;11337.0;8686.0;80114.0;10.71;10299.0;11646.0;65496.0;31002.0;9631.0;12783.0;47232.0;59113.0;72252.0;547308.0;25695.0;47729.0;96695.0;14125.0;5108.0;85319.0;22636.0;15013.0;22022.0;73058.0;72176.0;15135.0;33881.0;71953.0;22655.0;23171.0;55.269;17833.0;13122.0;19085.0;9423.0;19.09;55178.0;42948.0;47365.0;47365.0;65361.0;73648.0
Capralba, Piave, 2;8753.0;40176.0;16322.0;62704.0;16395.0;15022.0;36.0;41.83;11259.0;5.32;96381.0;37832.0;27233.0;50.37;78924.0;11.09;11995.0;45781.0;55007.0;17766.0;23934.0;62563.0;62647.0;42166.0;90191.0;78925.0;19722.0;20467.0;92564.0;15554.0;20921.0;14247.0;69678.0;40203.0;11.63;14159.0;59682.0;69307.0;84702.0;557.93;41017.0;46907.0;109145.0;11221.0;15377.0;97769.0;13481.0;21126.0;34472.0;85508.0;84886.0;9847.0;46331.0;84403.0;22395.0;34751.0;67.719;21229.0;8911.0;27221.0;14267.0;5059.0;67628.0;55398.0;59815.0;59815.0;72155.0;86098.0
Casalbuttano ed Uniti, Jacini, 23;50527.0;9244.0;40639.0;21.56;35397.0;37639.0;42163.0;123.0;35524.0;40.769;55237.0;35644.0;18506.0;8915.0;37.78;31832.0;31988.0;13425.0;14608.0;48318.0;20674.0;21419.0;22536.0;14929.0;49047.0;37781.0;24187.0;25338.0;51.42;44639.0;23301.0;27096.0;29567.0;9271.0;43982.0;46511.0;15317.0;29196.0;43558.0;533631.0;24351.0;23327.0;68001.0;33489.0;28508.0;56625.0;56375.0;22467.0;18681.0;44364.0;43742.0;36685.0;14223.0;43259.0;21581.0;10754.0;26.575;51762.0;41263.0;16924.0;43352.0;46421.0;26484.0;14999.0;18671.0;18671.0;32044.0;44954.0
Casale Cremasco-Vidolasco, Roma, 56;19.57;33558.0;21448.0;56086.0;5043.0;18448.0;11206.0;35212.0;0.0;9.812;89763.0;38735.0;20615.0;43752.0;72306.0;12641.0;12797.0;39163.0;48389.0;19161.0;17316.0;55945.0;56029.0;35548.0;83573.0;72307.0;13104.0;13849.0;85946.0;16949.0;21824.0;7241.0;63.06;33585.0;13025.0;15554.0;53064.0;62689.0;78084.0;558833.0;34399.0;40289.0;102527.0;4215.0;16.28;91151.0;22502.0;14508.0;27854.0;78.89;78268.0;1.81;39713.0;77785.0;15777.0;28133.0;61.101;22624.0;10306.0;20603.0;15662.0;15.6;61.01;48.78;53197.0;53197.0;65537.0;79.48
Casaletto Vaprio, Maggiore, 7;10.584;36.077;10.709;55.356;15.09;11.848;5.363;40.153;9.954;0.0;0.0;89.033;37.5;19.885;45.879;71.576;7.917;8.635;47.659;47.659;11.321;22.629;55.215;61.342;34.818;82.843;71.577;18.417;13.119;85.216;9.109;17.747;12.942;68.373;36.104;5.185;7.714;52.334;64.215;77.354;554.756;33.143;45.602;101.864;9.916;12.203;90.421;17.407;19.821;27.124;78.16;77.278;8.542;38.983;77.055;21.09;29.363;200.766;14.784;1.715;25.784;7.822;7.843;60.28;48.05;52.467;70.85;78.75
