;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0.62;43.52;17.02;62.3;23.87;17.9;10.75;48.4;22.63;95.22;37.33;29.98;51.77;71.22;22.35;56.57;11.42;30.62;62.22;65.32;41.28;85.0;75.82;25.05;23.73;86.0;12.97;26.63;25.28;67.83;43.55;12.68;7.45;58.92;69.48;78.58;18.67;43.77;55.45;101.35;21.95;19.67;94.43;7.9;28.62;37.55;81.13;81.35;19.83;44.68;76.82;31.73;40.28;66.83;13.03;13.55;32.93;13.5;8.0;64.88;58.0;59.8;13.92;43.05
Annicco, Giuseppe Garibaldi, 6;42.5;0.0;33.92;27.27;33.63;29.15;39.92;10.85;34.22;57.45;26.17;15.1;15.57;36.97;28.78;23.35;37.63;19.8;26.42;31.78;6.43;50.17;38.85;22.53;21.57;51.85;35.63;19.5;28.62;39.45;6.0;34.28;38.7;22.97;33.72;43.33;32.5;16.25;38.23;72.12;31.62;24.97;58.23;45.68;22.62;12.05;46.12;45.5;35.35;10.22;42.57;21.68;8.27;31.92;40.08;38.6;15.72;34.72;45.12;31.65;24.12;24.82;38.3;9.2
Bagnolo Cremasco, Roma, 3;15.83;33.33;0.0;52.52;23.15;7.43;20.53;42.02;22.4;82.3;29.53;20.1;43.28;62.85;14.12;48.6;11.37;21.72;52.45;57.68;32.07;75.6;64.38;16.3;14.83;77.53;7.38;14.77;18.4;64.77;33.33;7.33;11.75;49.12;59.68;69.3;17.85;31.95;52.17;95.12;20.03;10.92;83.2;19.13;20.02;27.57;71.3;71.55;20.25;35.22;68.55;28.38;31.42;55.87;13.82;12.68;24.07;6.4;22.48;56.82;48.68;49.1;14.87;34.03
Bonemerse, Roma, 25;61.2;26.33;52.52;0.0;53.77;47.8;59.12;23.65;52.93;37.08;36.1;33.97;17.65;14.08;47.87;12.9;56.62;38.98;12.68;20.57;25.87;27.25;24.2;41.77;40.68;29.02;54.48;38.35;48.5;24.72;26.33;53.0;57.47;12.62;18.93;28.58;51.67;33.63;28.88;48.85;50.48;43.68;35.3;64.13;42.27;30.97;22.83;23.05;54.05;21.78;19.67;43.78;32.47;8.05;59.12;57.37;36.0;53.67;64.15;15.83;12.8;4.7;57.45;17.5
Camisano, Trieste, 57;23.92;33.8;24.85;56.17;0.0;20.6;16.53;33.88;6.37;89.12;41.32;24.0;42.62;64.6;18.07;52.27;24.78;19.73;54.18;54.05;34.77;77.98;69.67;14.83;17.57;79.52;24.62;23.53;11.4;62.63;33.85;19.28;21.42;51.1;57.83;71.95;10.92;38.83;40.72;98.02;9.73;17.02;85.85;26.53;15.75;31.4;75.03;75.23;8.5;38.15;70.18;17.0;28.38;60.72;28.32;15.87;22.05;24.2;20.57;57.77;51.47;51.78;15.77;37.93
Capergnanica, XI febbraio, 7;18.7;29.92;9.23;49.38;20.73;0.0;20.37;38.88;19.97;78.93;26.67;17.05;40.17;58.47;11.28;45.5;14.43;18.67;47.98;52.47;28.4;71.97;62.9;13.87;11.78;73.3;12.22;11.12;15.32;61.23;30.47;10.72;15.12;46.03;56.6;65.77;15.48;28.42;49.35;91.9;16.82;5.43;79.68;21.83;16.93;24.47;68.27;67.25;19.58;31.78;64.0;25.98;28.17;53.95;16.8;15.77;21.12;11.6;25.38;53.75;46.35;45.58;16.83;30.97
Capralba, Piave, 2;9.72;38.07;20.9;60.45;16.22;18.67;0.12;38.95;12.55;93.42;43.73;27.4;47.65;68.37;14.57;56.55;18.27;23.77;57.95;59.03;38.6;81.7;73.63;19.07;21.13;85.55;18.17;25.95;15.23;66.42;38.05;12.53;15.08;54.52;64.25;75.43;9.42;42.83;45.57;105.25;11.95;19.05;92.52;16.43;20.5;35.63;76.93;79.45;10.4;43.87;74.0;21.7;34.17;64.93;21.87;9.3;25.97;17.2;7.32;63.45;57.33;55.57;7.07;42.2
Casalbuttano ed Uniti, Jacini, 23;49.42;11.75;44.17;23.57;34.48;40.18;40.22;0.37;34.6;54.13;38.1;23.55;10.37;34.68;36.97;20.85;47.1;23.43;23.85;23.42;17.48;47.47;37.85;26.32;31.45;48.55;45.1;30.5;30.28;32.57;11.73;42.8;45.25;18.73;28.82;40.88;34.33;27.43;29.12;67.1;33.38;35.78;55.05;53.98;23.65;23.42;42.02;42.63;35.27;20.13;39.37;22.85;13.27;27.7;49.77;39.18;19.37;44.43;45.53;28.62;21.63;21.83;39.27;16.87
Casale Cremasco-Vidolasco, Roma, 56;22.08;32.43;22.95;52.6;5.72;18.9;12.6;32.58;0.32;83.27;39.5;22.3;41.68;62.78;16.37;50.58;21.42;18.03;52.35;51.65;34.25;77.72;67.63;13.13;15.52;79.58;20.72;21.95;9.97;61.68;32.43;15.38;17.45;48.88;58.32;72.37;6.97;37.2;41.1;99.32;6.6;15.27;86.58;25.08;14.42;29.7;73.32;73.52;3.75;36.33;70.53;16.53;28.23;56.7;23.92;11.98;20.37;19.8;17.8;57.52;49.55;49.95;11.78;36.27
Casalmaggiore, Guglielmo Marconi, 8;92.02;56.33;82.18;34.08;83.53;78.2;89.85;54.03;82.43;0.0;66.53;63.97;47.85;20.08;77.25;42.83;87.38;69.47;37.27;38.57;56.02;12.72;30.17;71.75;71.37;9.48;84.1;68.62;78.27;36.83;56.3;82.6;87.12;41.85;34.1;22.02;80.75;64.02;60.42;17.25;81.23;74.07;13.48;95.05;72.73;61.53;14.22;19.88;84.78;51.97;15.07;73.78;63.08;28.23;88.53;86.93;65.63;83.22;94.77;35.32;46.2;35.68;86.88;48.05
