;start;start_day;destination;destination_day;product
0;Agnadello, Marconi, 6;4;Agnadello, Marconi, 6;4;2289
1;Agnadello, Marconi, 6;4;Annicco, Giuseppe Garibaldi, 6;2;15
2;Agnadello, Marconi, 6;4;Bagnolo Cremasco, Roma, 3;4;91
3;Agnadello, Marconi, 6;4;Camisano, Trieste, 57;0;12
4;Agnadello, Marconi, 6;4;Capergnanica, XI febbraio, 7;4;56
5;Agnadello, Marconi, 6;4;Capralba, Piave, 2;0;54
6;Agnadello, Marconi, 6;4;Casale Cremasco-Vidolasco, Roma, 56;0;6
7;Agnadello, Marconi, 6;4;Casalmaggiore, Guglielmo Marconi, 8;1;36
8;Agnadello, Marconi, 6;4;Casalmaggiore, Guglielmo Marconi, 8;3;54
9;Agnadello, Marconi, 6;4;Casalpusterlengo, Pusterla 7;1;0
10;Agnadello, Marconi, 6;4;Castelleone, Roma, 67;0;120
11;Agnadello, Marconi, 6;4;Castelleone, Roma, 67;2;200
12;Agnadello, Marconi, 6;4;Castelverde, Ubaldo Ferrari, 15;2;20
13;Agnadello, Marconi, 6;4;Crema, Civerchi, 9;1;868
14;Agnadello, Marconi, 6;4;Crema, Civerchi, 9;2;1085
15;Agnadello, Marconi, 6;4;Crema, Civerchi, 9;3;1302
16;Agnadello, Marconi, 6;4;Crema, Civerchi, 9;4;1519
17;Agnadello, Marconi, 6;4;Cremona, Ugolani Dati, 4;1;4
18;Agnadello, Marconi, 6;4;Cremona, Ugolani Dati, 4;3;6
19;Agnadello, Marconi, 6;4;Dovera, Oldrini 2;4;63
20;Agnadello, Marconi, 6;4;Grontardo, Roma, 16;3;24
21;Agnadello, Marconi, 6;4;Grumello Cremonese ed Uniti, Roma, 2;0;9
22;Agnadello, Marconi, 6;4;Isola Dovarese, Giacomo Matteotti, 1;3;78
23;Agnadello, Marconi, 6;4;Izano, Gerardo da Izano, 4/C;3;6
24;Agnadello, Marconi, 6;4;Madignano, Portici, 4;2;75
25;Agnadello, Marconi, 6;4;Monte Cremasco, Roma, 12;4;224
26;Agnadello, Marconi, 6;4;Montodine,  XXV Aprile, 10;0;42
27;Agnadello, Marconi, 6;4;Offanengo, Clavelli Martini, 5;3;576
28;Agnadello, Marconi, 6;4;Ostiano, Mazzini, 1;1;4
29;Agnadello, Marconi, 6;4;Ostiano, Mazzini, 1;3;6
30;Agnadello, Marconi, 6;4;Palazzo Pignano, Marco Polo, 31;2;75
31;Agnadello, Marconi, 6;4;Pandino, Castello, 15;2;230
32;Agnadello, Marconi, 6;4;Pandino, Castello, 15;4;322
33;Agnadello, Marconi, 6;4;Persico Dosimo, Albert ,7;1;68
34;Agnadello, Marconi, 6;4;Persico Dosimo, Albert ,7;3;102
35;Agnadello, Marconi, 6;4;Piadena, Platina, 40;3;102
36;Agnadello, Marconi, 6;4;Pizzighettone, Giuseppe Garibaldi, 18;0;27
37;Agnadello, Marconi, 6;4;Manerbio, INSURREZIONE NAZIONALE;3;1092
38;Agnadello, Marconi, 6;4;Ricengo, Guglielmo Marconi;0;63
39;Agnadello, Marconi, 6;4;Ripalta Cremasca, Roma, 5;0;93
40;Agnadello, Marconi, 6;4;Rivolta d'Adda, Stefano Renzi, 5;2;100
41;Agnadello, Marconi, 6;4;Rivolta d'Adda, Stefano Renzi, 5;4;140
42;Agnadello, Marconi, 6;4;Romanengo, Guaiarini, 14;2;30
43;Agnadello, Marconi, 6;4;San Giovanni in Croce, Feudatari, 25 A;1;76
44;Agnadello, Marconi, 6;4;San Giovanni in Croce, Feudatari, 25 A;3;114
45;Agnadello, Marconi, 6;4;Scandolara Ravara, Italia;1;0
46;Agnadello, Marconi, 6;4;Sergnano, IV Novembre,  10;0;30
47;Agnadello, Marconi, 6;4;Sesto ed Uniti, Roma, 4;0;0
48;Agnadello, Marconi, 6;4;Soncino, Dante Alighieri, 23;0;96
49;Agnadello, Marconi, 6;4;Soresina, Giacomo Matteotti, 6;0;162
50;Agnadello, Marconi, 6;4;Spino d'Adda, Circonvallazione, 13;2;65
51;Agnadello, Marconi, 6;4;Spino d'Adda, Circonvallazione, 13;4;91
52;Agnadello, Marconi, 6;4;Trescore Cremasco, Vittorio Veneto, 1;4;63
53;Agnadello, Marconi, 6;4;Trigolo, Roma, 26;0;9
54;Agnadello, Marconi, 6;4;Vaiano Cremasco,  Gloriosi Caduti, 3;4;14
55;Agnadello, Marconi, 6;4;Vailate, Dante Alighieri, 7;1;4
56;Agnadello, Marconi, 6;4;Vescovato, Roma, 44;3;42
57;Agnadello, Marconi, 6;4;Casaletto Vaprio, Maggiore, 7;4;7
58;Agnadello, Marconi, 6;4;Cremona, Sesto 39;3;66
59;Annicco, Giuseppe Garibaldi, 6;2;Agnadello, Marconi, 6;4;12
60;Annicco, Giuseppe Garibaldi, 6;2;Annicco, Giuseppe Garibaldi, 6;2;49
61;Annicco, Giuseppe Garibaldi, 6;2;Bagnolo Cremasco, Roma, 3;4;2
62;Annicco, Giuseppe Garibaldi, 6;2;Camisano, Trieste, 57;0;5
63;Annicco, Giuseppe Garibaldi, 6;2;Capergnanica, XI febbraio, 7;4;0
64;Annicco, Giuseppe Garibaldi, 6;2;Capralba, Piave, 2;0;15
65;Annicco, Giuseppe Garibaldi, 6;2;Casale Cremasco-Vidolasco, Roma, 56;0;0
66;Annicco, Giuseppe Garibaldi, 6;2;Casalmaggiore, Guglielmo Marconi, 8;1;12
67;Annicco, Giuseppe Garibaldi, 6;2;Casalmaggiore, Guglielmo Marconi, 8;3;2
68;Annicco, Giuseppe Garibaldi, 6;2;Casalpusterlengo, Pusterla 7;1;0
69;Annicco, Giuseppe Garibaldi, 6;2;Castelleone, Roma, 67;0;15
70;Annicco, Giuseppe Garibaldi, 6;2;Castelleone, Roma, 67;2;21
71;Annicco, Giuseppe Garibaldi, 6;2;Castelverde, Ubaldo Ferrari, 15;2;0
72;Annicco, Giuseppe Garibaldi, 6;2;Crema, Civerchi, 9;1;84
73;Annicco, Giuseppe Garibaldi, 6;2;Crema, Civerchi, 9;2;98
74;Annicco, Giuseppe Garibaldi, 6;2;Crema, Civerchi, 9;3;14
75;Annicco, Giuseppe Garibaldi, 6;2;Crema, Civerchi, 9;4;28
76;Annicco, Giuseppe Garibaldi, 6;2;Cremona, Ugolani Dati, 4;1;0
77;Annicco, Giuseppe Garibaldi, 6;2;Cremona, Ugolani Dati, 4;3;0
78;Annicco, Giuseppe Garibaldi, 6;2;Dovera, Oldrini 2;4;2
