;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0.06;47.84;15.63;67.12;23.99;18.98;8.72;49.81;22.79;100.8;36.42;31.65;57.65;83.34;21.01;20.61;59.36;10.31;31.99;67.97;71.46;46.59;94.61;83.34;27.54;24.89;96.98;11.18;28.71;27.8;83.91;47.87;11.35;5.22;64.1;76.66;89.12;17.15;46.78;55.23;149.69;19.58;23.17;102.19;6.72;31.21;38.89;89.93;89.31;18.2;50.75;88.92;30.95;39.51;72.48;10.48;12.96;35.17;12.62;5.0;72.07;61.27;64.23;10.45;50.2
Annicco, Giuseppe Garibaldi, 6;46.62;0.0;33.93;26.68;36.71;29.66;41.93;7.87;35.29;60.36;26.53;15.66;14.41;42.9;26.11;26.54;18.92;41.5;16.61;27.52;31.02;5.8;54.17;42.9;20.24;22.08;56.54;37.76;19.61;28.5;43.47;0.01;36.68;41.95;23.66;35.54;48.68;29.65;15.22;33.59;73.19;30.98;24.81;61.75;49.51;20.75;10.39;49.48;48.86;36.45;10.31;48.47;20.06;6.34;32.04;44.88;35.25;12.98;36.47;46.18;31.62;20.83;23.79;34.75;9.76
Bagnolo Cremasco, Roma, 3;15.21;34.92;0.0;54.2;23.08;5.5;16.99;36.45;21.66;87.87;30.4;18.6;44.72;70.42;8.13;7.74;46.44;10.09;19.06;55.04;58.53;33.66;81.68;70.42;14.61;11.96;84.06;3.53;14.11;14.88;70.98;34.94;5.26;10.54;51.17;63.73;76.19;11.91;32.19;50.97;100.7;17.36;10.24;89.26;18.1;18.29;25.96;77.0;76.38;16.88;37.82;75.99;26.12;26.58;59.55;13.47;8.75;22.24;2.77;17.47;59.14;48.35;51.31;10.46;37.27
Bonemerse, Roma, 25;67.07;26.37;54.37;0.0;57.15;50.1;62.21;21.46;55.73;36.04;53.55;36.11;14.59;18.58;46.55;46.98;6.93;61.95;40.31;11.95;17.18;26.51;29.85;26.93;44.2;42.52;32.22;58.2;40.05;48.94;27.5;26.4;57.12;62.39;9.82;19.57;32.71;50.09;31.63;36.81;48.87;51.42;45.26;37.43;69.96;45.02;30.83;25.17;24.55;56.89;18.6;24.16;42.9;31.93;7.72;65.33;55.69;37.23;56.91;66.63;16.05;6.56;3.64;55.2;16.73
Camisano, Trieste, 57;20.63;33.45;23.17;57.64;0.0;20.07;16.35;34.73;5.03;91.32;40.31;22.17;43.64;73.86;14.2;14.35;49.88;24.37;18.86;58.48;55.92;37.1;85.13;73.86;14.66;15.4;87.5;27.0;23.38;8.5;62.95;33.48;18.58;20.7;54.62;67.17;79.64;9.93;40.41;40.15;104.15;7.67;17.83;92.7;21.95;16.06;29.41;80.44;79.82;5.86;41.27;79.43;15.86;28.02;62.99;27.77;15.45;22.04;25.71;15.05;62.58;51.79;54.75;14.95;40.72
Capergnanica, XI febbraio, 7;19.64;31.22;6.14;50.92;19.81;0.0;15.24;33.18;18.39;84.6;26.84;14.78;41.45;67.14;6.24;5.4;43.16;14.52;15.79;51.77;55.26;29.61;78.41;67.14;11.34;9.24;80.78;10.78;10.3;11.6;68.26;30.89;9.7;14.96;48.45;60.45;73.47;10.48;28.37;48.25;97.98;14.64;5.11;86.54;22.53;15.56;21.91;74.28;73.66;15.13;33.77;73.27;23.4;23.17;56.83;17.9;13.19;19.52;9.49;19.09;56.42;45.62;48.58;12.07;33.22
Capralba, Piave, 2;8.75;40.18;16.49;62.7;16.39;15.02;0.04;41.46;11.26;96.38;37.85;27.23;50.37;78.92;11.09;11.99;54.95;17.83;23.93;63.55;62.65;42.17;90.19;78.92;19.72;20.47;92.56;15.55;20.92;15.23;71.97;40.2;11.63;14.16;59.68;72.24;84.7;8.79;38.99;46.88;109.21;11.22;15.38;97.77;13.48;21.13;34.47;85.51;84.89;9.85;46.33;84.5;22.59;34.75;68.06;21.23;8.91;27.1;14.27;5.06;67.65;56.86;59.81;5.32;45.78
Casalbuttano ed Uniti, Jacini, 23;50.53;9.09;37.27;21.56;36.94;34.17;42.0;0.12;35.52;55.24;35.51;18.51;8.91;37.78;31.83;29.88;14.55;44.84;20.56;22.4;22.54;14.78;49.05;37.78;24.19;25.42;51.42;41.1;23.3;27.1;29.57;9.12;44.39;46.51;15.29;29.2;43.56;35.75;24.2;25.34;68.07;33.49;28.51;56.62;56.2;22.47;18.68;44.36;43.74;36.69;14.07;43.35;21.78;10.75;26.91;48.22;41.26;16.92;39.81;46.42;26.5;14.89;18.67;40.77;13.52
Casale Cremasco-Vidolasco, Roma, 56;19.57;33.56;21.62;56.09;5.04;18.52;11.21;34.84;0.0;89.76;38.76;20.61;43.75;72.31;12.64;12.8;48.33;19.23;17.31;56.93;56.03;35.55;83.57;72.31;13.1;13.85;85.95;16.95;21.82;8.61;63.06;33.59;13.03;15.55;53.06;65.62;78.08;4.79;38.85;40.26;102.59;4.21;16.28;91.15;22.5;14.51;27.85;78.89;78.27;1.81;39.71;77.88;15.97;28.13;61.44;22.62;10.31;20.48;15.66;15.6;61.03;50.24;53.2;9.81;39.16
Casalmaggiore, Guglielmo Marconi, 8;100.78;60.08;88.08;36.07;90.86;83.81;96.08;55.17;89.44;0.0;87.26;69.82;48.3;18.28;80.26;80.69;40.64;95.66;74.02;41.18;41.22;60.22;7.66;26.93;77.91;76.23;5.12;91.91;73.76;82.69;36.83;60.11;90.83;96.1;44.33;37.55;20.28;83.8;65.34;70.52;13.35;85.13;78.97;10.04;103.67;78.73;64.54;11.93;14.64;90.6;52.31;12.44;76.61;65.64;29.11;99.03;89.4;70.94;90.62;100.34;37.54;43.52;37.35;88.91;50.44
