;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Ostiano;San Giovanni in Croce;Cremona, Sesto 39
Palazzo Pignano, Marco Polo, 31;11.31;37.87;5.64;57.15;18.17;9.0;11.73;43.23;13.03;90.82;33.78;21.68;47.67;73.37;11.03;10.64;49.45;49.39;7.67;22.02;57.99;61.48;36.61;84.63;73.37;17.56;14.91;87.01;3.92;18.73;17.83;73.94;37.89;0.17;4.51;54.12;66.68;79.14;10.56;36.81;48.65;103.65;13.0;13.19;92.21;14.2;21.24;28.91;79.95;79.33;11.62;40.77;78.94;24.37;29.53;62.5;11.05;3.49;25.19;2.63;12.21;62.09;51.3;54.26;5.2;73.64;80.76;40.22
Pandino, Castello, 15;5.41;43.26;11.04;62.54;20.48;14.39;14.04;45.54;15.35;96.21;31.84;27.07;53.06;78.76;13.31;16.03;54.84;54.78;5.72;27.41;63.38;66.88;42.0;90.02;78.76;22.95;20.3;92.4;6.59;24.12;19.32;79.33;43.28;4.2;0.0;59.51;72.07;84.53;12.88;42.2;50.96;109.04;15.31;18.58;97.6;8.3;26.63;34.3;85.34;84.72;13.93;46.16;84.33;26.68;34.92;67.89;5.9;5.8;30.57;8.03;11.03;67.48;56.69;59.65;7.51;79.03;86.15;45.61
Persico Dosimo, Albert ,7;63.93;23.24;51.24;10.01;54.02;46.97;59.24;15.24;52.59;44.49;37.2;32.96;11.45;27.03;43.41;43.84;5.92;5.88;58.8;37.17;3.16;7.64;23.37;38.3;21.02;41.05;39.38;40.67;55.06;36.91;45.8;17.44;23.25;53.98;59.24;0.16;14.33;26.79;46.95;28.49;27.38;57.32;48.28;42.11;48.41;66.81;41.88;27.69;33.62;32.99;53.75;15.46;32.6;36.68;28.79;15.36;62.18;52.55;34.09;53.77;63.48;9.74;8.81;7.12;52.05;17.15;32.51;13.59
Pescarolo ed Uniti, Giuseppe Mazzini, 73;75.72;35.02;63.03;19.38;65.8;58.76;71.02;30.11;64.38;36.94;61.31;44.76;23.25;19.48;55.21;55.63;17.26;17.2;70.6;48.97;10.25;3.58;35.17;30.75;13.47;52.85;51.18;33.12;66.86;48.7;57.59;6.83;35.05;65.78;71.04;13.4;0.06;19.25;58.75;40.29;25.01;49.77;60.08;53.91;40.86;78.61;53.67;39.49;26.07;25.44;65.55;27.25;25.05;49.25;38.23;12.57;73.98;64.34;45.89;65.57;75.28;2.91;20.63;16.84;63.85;6.54;24.96;25.38
Piadena, Platina, 40;88.8;48.1;76.11;32.47;78.88;73.01;84.1;43.19;77.47;20.25;74.39;57.84;36.33;16.39;68.29;68.72;30.34;30.28;83.68;62.05;23.33;23.25;48.25;19.24;8.76;65.93;64.26;16.44;79.94;61.78;70.68;18.66;48.13;78.86;84.12;26.48;19.58;0.04;71.83;53.37;43.62;33.09;73.16;66.99;19.25;91.69;66.75;52.57;8.63;18.76;78.63;40.33;9.15;64.63;53.66;25.65;87.06;77.42;58.97;78.65;88.36;19.69;32.84;29.92;76.93;18.37;8.48;38.46
Pianengo, Nenni;17.2;33.69;11.77;50.37;9.91;10.3;8.84;34.97;4.77;84.04;31.16;14.89;43.88;66.59;4.58;5.02;42.67;42.61;16.86;17.44;51.21;56.16;29.83;77.85;66.59;13.23;8.13;80.23;14.99;14.22;8.74;63.19;33.71;11.07;13.18;47.34;59.9;72.36;0.0;33.13;40.39;96.87;4.73;8.68;85.43;22.88;14.64;22.13;73.17;72.55;3.36;33.99;72.16;16.1;28.26;55.72;20.25;7.94;20.6;13.7;13.09;55.31;44.52;47.48;7.45;63.84;73.98;33.44
Pizzighettone, Giuseppe Garibaldi, 18;45.04;16.06;31.01;31.59;36.95;26.99;37.48;23.8;38.8;65.26;12.05;19.17;22.11;47.81;26.36;26.1;20.69;20.63;36.01;23.38;32.43;35.93;10.29;59.07;47.81;27.27;25.59;61.45;35.27;16.94;32.01;48.38;16.09;35.09;40.36;28.57;41.12;53.59;29.9;0.06;58.01;78.09;34.49;22.14;66.65;47.93;28.09;10.86;54.39;53.77;39.96;12.32;53.38;30.38;17.15;36.94;43.3;34.8;20.3;34.88;41.33;36.53;20.9;28.7;34.31;48.09;55.2;18.42
Manerbio, INSURREZIONE NAZIONALE;55.41;34.18;51.21;36.34;41.82;48.11;47.04;24.03;40.4;70.36;77.3;43.09;30.77;46.36;42.23;42.39;34.75;34.69;55.06;38.26;35.67;24.6;42.24;57.63;37.91;37.79;41.43;66.54;55.04;49.04;37.5;22.77;34.21;49.27;51.39;24.93;24.76;46.12;40.63;57.77;0.0;83.19;38.37;45.87;71.74;61.08;32.87;40.99;59.48;58.86;41.56;44.75;58.47;26.0;33.07;42.03;58.46;46.14;37.3;53.75;51.3;26.53;36.33;33.79;45.65;23.42;51.84;42.88
Viadana, A. Manzoni, 2;113.74;73.04;101.05;49.03;103.82;96.78;108.88;68.12;102.4;14.23;100.21;82.78;61.25;31.24;93.22;93.65;53.66;53.59;108.62;86.98;54.13;54.17;73.19;20.62;39.88;90.87;89.2;18.07;104.88;86.72;95.61;49.78;73.07;103.8;109.06;57.28;50.51;33.23;96.77;78.3;83.47;0.22;98.1;91.93;15.53;116.63;91.69;77.51;24.88;27.59;103.56;65.27;25.4;89.56;78.6;42.07;112.0;102.36;83.91;103.59;113.3;50.49;55.13;50.3;101.87;49.49;24.98;63.4
Ricengo, Guglielmo Marconi;18.99;32.35;17.16;51.62;7.65;14.06;10.63;32.71;4.23;85.3;34.3;16.15;41.62;67.84;8.18;8.34;43.93;43.87;18.65;12.85;52.47;53.9;31.09;79.11;67.85;8.64;9.39;81.48;20.99;17.36;3.59;60.93;32.37;12.86;14.98;48.6;61.16;73.62;4.21;34.39;38.13;98.13;0.1;11.82;86.69;24.67;10.05;23.39;74.43;73.81;5.15;35.25;73.42;13.84;26.0;56.98;22.05;9.73;16.01;19.7;14.89;56.57;45.78;48.74;9.24;61.58;75.24;34.7
