origin;destination;num_orders
BRESCIA;CREMA;20176
BRESCIA;OFFANENGO;3958
CREMA;BRESCIA;2540
BRESCIA;SONCINO;2533
RIVOLTA D'ADDA;CREMA;1965
BRESCIA;SORESINA;1936
BRESCIA;RIVOLTA D'ADDA;1723
RIVOLTA D'ADDA;BRESCIA;1641
CASTELLEONE;CREMA;1582
BRESCIA;MADIGNANO;1566
BRESCIA;PANDINO;1441
CINGIA DE' BOTTI;CINGIA DE' BOTTI;1436
CREMA;CREMA;1417
OFFANENGO;CREMA;1396
BRESCIA;CREMONA - CDA;1320
CASALMAGGIORE;CREMA;1316
CASALMAGGIORE;BRESCIA;1223
BRESCIA;SOSPIRO;1112
CENTRO FUMETTO A. PAZIENZA;BRESCIA;1079
BRESCIA;CASTELLEONE;1048
BRESCIA;Agnadello;1032
BRESCIA;RIPALTA CREMASCA;994
BRESCIA;PERSICO DOSIMO;987
BRESCIA;MONTE CREMASCO;964
BRESCIA;PIADENA DRIZZONA;963
BRESCIA;CASALMAGGIORE;953
SERGNANO;CREMA;926
OFFANENGO;BRESCIA;891
BAGNOLO CREMASCO;CREMA;889
CASTELLEONE;BRESCIA;864
BRESCIA;RICENGO;801
PIADENA DRIZZONA;CREMA;792
BRESCIA;SPINO D'ADDA;791
BRESCIA;BAGNOLO CREMASCO;760
BRESCIA;SAN GIOVANNI IN CROCE;741
BRESCIA;SERGNANO;722
BRESCIA;PESCAROLO ED UNITI;713
BRESCIA;TRESCORE CREMASCO;698
BRESCIA;PIANENGO;694
BRESCIA;CAPRALBA;676
BRESCIA;CAPERGNANICA;619
BRESCIA;SOLAROLO RAINERIO;614
BRESCIA;ISOLA DOVARESE;598
BRESCIA;CENTRO FUMETTO A. PAZIENZA;596
CREMA;OFFANENGO;591
BAGNOLO CREMASCO;BRESCIA;574
PIADENA DRIZZONA;BRESCIA;573
BRESCIA;MONTODINE;532
SPINO D'ADDA;CREMA;524
BRESCIA;DOVERA;495
BRESCIA;VESCOVATO;470
CASTELLEONE;OFFANENGO;460
SOLAROLO RAINERIO;CREMA;456
GADESCO PIEVE DELMONA;CREMA;453
RIVOLTA D'ADDA;SONCINO;430
PIZZIGHETTONE;BRESCIA;420
RIVOLTA D'ADDA;OFFANENGO;412
BRESCIA;CINGIA DE' BOTTI;405
BRESCIA;BONEMERSE;404
SAN GIOVANNI IN CROCE;CREMA;404
GADESCO PIEVE DELMONA;BRESCIA;400
CASALMAGGIORE;CASALMAGGIORE;395
BRESCIA;PIZZIGHETTONE;389
PIZZIGHETTONE;CREMA;386
BRESCIA;VAIANO CREMASCO;377
CREMA;SONCINO;370
SERGNANO;BRESCIA;364
PANDINO;CREMA;364
SONCINO;CREMA;362
CAPRALBA;CREMA;358
OFFANENGO;PANDINO;349
