;time;distance;balance
Original;1777.0;1691.0;0.25
Original LS;1568.0;1465.0;0.18
Original 2opt;1434.0;1309.0;0.1
Original MVLS;1399.0;1218.0;0.45
RandomDay;2610.0;2615.0;0.22
RandomDay LS;1608.0;1566.0;0.18
RandomDay 2opt;1517.0;1461.0;0.18
RandomDay MVLS;1364.0;1212.0;0.41
Greedy;1432.0;1304.0;0.3
Greedy LS;1378.0;1268.0;0.3
Greedy 2opt;1315.0;1222.0;0.33
Greedy MVLS;1228.0;1118.0;0.47
OSS;1687.0;1612.0;0.25
OSS LS;1636.0;1555.0;0.24
OSS 2opt;1475.0;1341.0;0.19
OSS MVLS;1426.0;1289.0;0.46
FOSS;1602.0;1485.0;0.37
FOSS LS;1582.0;1477.0;0.37
FOSS 2opt;1443.0;1328.0;0.31
FOSS MVLS;1392.0;1247.0;0.48
RandomSch;1869.0;1798.0;0.17
RandomSch LS;1746.0;1685.0;0.22
RandomSch 2opt;1643.0;1545.0;0.22
RandomSch MVLS;1419.0;1262.0;0.35
