;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
0;0.0;44.05;75.77;43.46;43.42;79.92;38.6;47.68;86.82;70.94;81.94;49.4;84.12;18.68;50.8;50.22;45.19;77.67;63.56;31.14;26.68;56.61;41.23;23.32;84.05;8.06;32.7;34.01;48.92;73.11;84.01;15.03;68.88;58.86;49.25
1;44.05;0.0;36.01;45.4;8.06;77.82;39.12;38.28;78.24;26.91;73.5;75.71;41.76;54.38;24.84;57.43;70.61;60.83;50.48;66.65;28.07;13.0;20.59;52.8;40.31;52.01;61.68;14.32;65.03;78.16;51.24;56.94;35.11;30.0;27.46
2;75.77;36.01;0.0;54.92;32.98;71.03;51.86;43.57;65.62;23.35;62.2;91.26;11.7;80.21;28.28;64.85;86.61;45.4;43.74;89.94;64.07;24.33;54.74;75.93;19.03;83.77;82.04;41.79;76.16;77.28;20.62;90.14;13.34;22.47;31.89
3;43.46;45.4;54.92;0.0;38.05;37.54;6.71;11.4;43.38;64.54;38.48;36.4;66.37;35.01;27.86;12.04;31.89;36.01;22.2;39.56;54.82;50.36;60.01;28.16;71.18;48.76;29.97;32.28;21.54;34.0;52.43;57.28;42.64;32.45;23.77
4;43.42;8.06;32.98;38.05;0.0;69.78;32.02;30.36;70.21;29.68;65.46;69.92;40.71;51.09;16.97;50.09;64.85;53.04;42.44;62.68;32.39;14.42;27.8;48.55;41.11;51.48;56.8;9.9;58.31;70.34;45.71;57.38;29.43;22.83;19.42
5;79.92;77.82;71.03;37.54;69.78;0.0;43.84;39.96;12.53;89.11;11.4;50.16;82.22;67.42;54.08;29.97;49.01;27.2;28.64;65.92;92.02;78.16;95.41;60.17;90.01;84.08;56.29;67.12;36.35;13.0;57.01;92.57;58.01;52.95;50.7
6;38.6;39.12;51.86;6.71;32.02;43.84;0.0;10.44;48.88;59.48;43.91;39.82;63.01;32.76;23.85;18.44;34.99;39.32;25.18;39.45;48.27;44.91;53.31;26.57;67.12;44.55;30.61;25.71;26.48;40.71;51.88;52.95;40.36;29.7;20.0
7;47.68;38.28;43.57;11.4;30.36;39.96;10.44;0.0;42.52;54.45;37.54;47.8;55.07;43.17;17.26;21.84;43.28;30.08;16.16;49.65;53.26;41.01;55.47;37.0;60.17;54.15;40.5;27.2;32.65;40.02;41.68;62.39;31.24;21.1;13.15
8;86.82;78.24;65.62;43.38;70.21;12.53;48.88;42.52;0.0;85.73;5.0;61.81;76.16;76.16;53.54;38.64;60.21;20.22;27.8;76.16;95.78;76.49;97.19;68.88;84.59;91.76;66.27;69.31;47.01;25.5;49.16;100.3;53.37;50.57;50.8
9;70.94;26.91;23.35;64.54;29.68;89.11;59.48;54.45;85.73;0.0;81.74;98.79;20.88;80.6;37.22;76.12;93.78;65.79;60.53;92.36;52.0;15.26;38.83;78.23;15.13;78.87;86.35;39.41;85.87;93.02;43.93;83.49;32.7;36.22;41.3
10;81.94;73.5;62.2;38.48;65.46;11.4;43.91;37.54;5.0;81.74;0.0;58.46;73.01;71.59;48.88;34.23;56.57;17.03;23.02;72.03;90.79;72.09;92.31;64.33;81.22;86.98;62.07;64.38;43.19;23.6;46.69;95.52;49.65;46.24;46.04
11;49.4;75.71;91.26;36.4;69.92;50.16;39.82;47.8;61.81;98.79;58.46;0.0;102.63;30.87;63.63;28.6;5.1;65.3;54.41;21.21;72.99;83.82;84.02;26.68;106.94;48.88;16.76;61.39;16.64;38.01;87.78;55.8;79.03;68.82;59.68
12;84.12;41.76;11.7;66.37;40.71;82.22;63.01;55.07;76.16;20.88;73.01;102.63;0.0;90.14;39.2;76.49;97.91;56.04;55.32;100.41;69.43;28.86;58.03;86.28;9.43;92.18;92.85;50.25;87.71;88.84;28.46;97.99;25.0;34.0;43.01
13;18.68;54.38;80.21;35.01;51.09;67.42;32.76;43.17;76.16;80.6;71.59;30.87;90.14;0.0;52.48;37.64;26.93;71.03;57.14;13.15;44.01;65.44;57.07;7.28;91.93;18.44;14.42;41.23;33.02;58.67;83.93;26.25;70.71;59.94;49.65
14;50.8;24.84;28.28;27.86;16.97;54.08;23.85;17.26;53.54;37.22;48.88;63.63;39.2;52.48;0.0;39.05;58.83;36.07;25.94;61.72;47.17;24.33;44.69;47.8;43.38;58.46;53.76;19.65;49.4;56.32;33.24;65.76;18.38;8.06;4.12
15;50.22;57.43;64.85;12.04;50.09;29.97;18.44;21.84;38.64;76.12;34.23;28.6;76.49;37.64;39.05;0.0;25.06;37.34;25.81;38.05;65.19;62.2;71.51;30.36;81.93;54.12;28.02;44.15;12.04;23.43;59.4;62.61;51.97;42.54;34.93
16;45.19;70.61;86.61;31.89;64.85;49.01;34.99;43.28;60.21;93.78;56.57;5.1;97.91;26.93;58.83;25.06;0.0;62.24;50.77;18.87;68.25;78.77;79.06;22.14;102.08;45.22;12.53;56.29;13.6;37.48;83.74;52.5;74.52;64.2;54.92
17;77.67;60.83;45.4;36.01;53.04;27.2;39.32;30.08;20.22;65.79;17.03;65.3;56.04;71.03;36.07;37.34;62.24;0.0;14.14;74.53;81.63;57.45;80.72;64.12;64.38;83.86;64.54;54.08;48.75;36.89;29.83;92.23;33.24;31.62;34.21
18;63.56;50.48;43.74;22.2;42.44;28.64;25.18;16.16;27.8;60.53;23.02;54.41;55.32;57.14;25.94;25.81;50.77;14.14;0.0;61.4;68.82;49.65;69.43;50.36;62.39;69.72;51.55;41.77;37.8;33.54;34.21;78.09;30.41;24.33;23.02
19;31.14;66.65;89.94;39.56;62.68;65.92;39.45;49.65;76.16;92.36;72.03;21.21;100.41;13.15;61.72;38.05;18.87;74.53;61.4;0.0;57.08;77.1;70.21;14.21;102.94;28.79;10.05;53.0;29.61;55.36;91.3;34.99;79.4;68.6;58.41
