;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Ostiano;San Giovanni in Croce;Cremona, Sesto 39
Agnadello, Marconi, 6;0.25;39.23;16.02;54.9;23.12;16.22;11.13;44.75;21.73;81.17;34.17;27.5;47.45;65.92;20.13;20.22;50.72;50.72;11.22;27.78;54.47;58.98;38.08;76.1;66.0;22.88;21.92;77.43;11.9;24.45;24.58;66.57;39.33;11.62;7.78;51.7;60.92;70.07;18.1;40.5;51.17;95.27;20.43;19.27;82.58;7.45;25.73;33.18;71.58;71.45;19.13;40.67;70.73;30.0;36.05;58.55;12.3;12.77;31.63;12.22;8.23;57.78;52.13;52.45;12.55;66.15;71.7;46.28
Annicco, Giuseppe Garibaldi, 6;38.47;0.0;31.45;24.77;31.23;27.48;36.2;12.12;30.73;51.43;24.23;13.78;16.42;35.97;25.75;25.12;20.45;20.45;35.07;18.43;24.33;29.08;7.08;46.1;35.82;21.23;20.03;47.55;32.22;18.3;26.72;36.47;0.03;31.02;35.5;21.67;30.83;39.97;28.72;16.02;37.07;65.58;27.87;22.1;52.48;41.2;21.32;12.17;41.62;41.47;31.37;10.55;40.73;20.12;7.57;28.57;36.98;33.32;15.13;31.55;40.75;27.72;21.95;22.37;34.67;36.02;41.7;15.15
Bagnolo Cremasco, Roma, 3;14.95;31.55;0.0;47.2;21.42;7.67;19.25;37.77;20.92;73.45;28.2;19.8;39.75;58.22;12.77;12.83;43.02;43.02;11.58;20.08;46.77;51.28;30.38;68.4;58.28;15.18;14.22;69.73;7.48;14.6;16.88;58.88;31.65;7.1;11.77;44.02;53.22;62.38;16.0;30.67;47.27;87.58;18.05;11.58;74.87;17.72;18.05;25.52;63.87;63.73;18.77;32.98;63.03;26.02;28.37;50.85;13.48;11.88;23.97;5.95;22.17;50.1;44.45;44.75;15.33;58.48;64.0;39.23
Bonemerse, Roma, 25;55.02;23.9;48.08;0.0;47.77;44.15;52.63;20.82;47.2;30.52;36.78;30.28;15.9;14.97;42.18;41.75;10.83;10.83;51.72;36.25;11.87;18.63;24.25;25.12;22.53;38.78;36.55;26.68;48.62;34.88;43.3;23.22;23.98;47.43;52.03;11.22;17.57;26.72;45.28;29.55;26.95;44.67;44.32;38.77;31.58;57.7;39.0;28.65;20.68;20.43;47.93;19.63;19.87;39.52;29.2;7.52;53.48;49.87;33.22;47.97;57.15;15.25;12.0;4.47;50.22;22.8;20.87;11.25
Camisano, Trieste, 57;22.38;31.12;22.2;48.38;0.0;18.5;15.18;30.7;5.83;74.6;37.03;21.22;38.65;59.37;15.83;15.68;44.17;44.17;22.55;18.08;47.95;48.87;31.62;69.5;59.4;13.63;15.42;70.88;22.07;21.18;10.88;56.47;31.27;17.07;19.47;45.18;54.35;63.57;9.72;36.08;37.07;88.7;8.32;16.02;76.05;23.12;14.12;26.7;65.03;64.9;7.5;34.17;64.2;15.93;25.98;52.05;25.42;14.08;21.95;22.15;17.67;51.23;45.62;45.95;14.3;57.53;65.13;38.93
Capergnanica, XI febbraio, 7;18.02;29.73;9.18;45.37;19.52;0.0;19.57;35.88;18.97;71.53;27.0;17.35;37.85;56.32;11.35;10.12;41.1;41.1;14.63;18.08;44.88;49.52;28.53;66.43;56.35;13.25;12.28;67.82;11.8;11.9;14.97;57.03;29.77;10.6;15.07;42.13;51.3;60.52;15.57;27.85;45.35;85.63;16.12;6.87;72.98;20.77;16.12;23.65;61.98;61.85;18.98;31.12;61.15;24.08;26.43;48.98;16.5;15.33;21.97;11.15;23.78;48.13;42.58;42.9;15.22;56.6;62.1;35.37
Capralba, Piave, 2;10.62;35.93;19.38;52.82;15.03;18.68;0.12;35.52;12.62;78.82;39.02;25.53;43.47;63.68;13.35;15.47;48.43;48.43;18.03;22.23;52.18;53.63;35.95;73.83;63.65;17.83;19.75;75.28;16.95;23.18;14.8;61.23;36.03;11.93;14.35;49.57;58.58;67.8;8.77;39.17;41.9;92.95;11.1;18.05;80.43;16.68;18.43;31.05;69.4;69.25;9.8;38.52;68.57;20.75;30.72;56.4;20.3;8.95;26.12;16.28;7.03;55.48;49.93;50.33;7.82;62.3;69.53;43.63
Casalbuttano ed Uniti, Jacini, 23;45.43;11.67;39.7;21.72;32.0;35.97;36.87;0.37;31.43;48.07;35.32;20.73;9.93;32.72;33.78;33.35;17.77;17.75;43.32;21.48;21.27;22.0;18.15;42.9;32.78;24.25;28.15;44.27;40.2;27.52;28.0;29.57;11.75;38.88;41.27;18.52;27.37;36.88;31.37;26.8;26.63;62.08;29.95;31.4;49.4;48.85;22.03;21.6;38.38;38.25;32.1;19.12;37.57;20.72;11.73;25.35;44.97;35.72;18.17;39.6;41.38;24.6;19.18;19.27;34.57;30.55;38.52;13.32
Casale Cremasco-Vidolasco, Roma, 56;21.8;31.0;21.62;47.88;5.97;17.9;13.18;30.58;0.0;73.87;36.33;20.6;38.55;58.75;15.15;15.1;43.5;43.5;21.27;17.3;47.23;48.67;31.02;68.87;58.7;12.9;14.82;70.28;20.2;20.52;10.27;56.32;31.08;15.18;17.57;44.6;53.62;62.87;7.67;35.43;36.92;87.93;6.78;15.37;75.43;22.68;13.53;26.17;64.45;64.28;4.2;33.58;63.65;15.83;25.8;51.47;23.52;12.07;21.22;19.52;17.0;50.55;45.0;45.4;11.88;57.47;64.6;38.42
Casalmaggiore, Guglielmo Marconi, 8;82.82;51.88;75.78;31.95;75.52;72.1;80.37;48.9;74.93;0.0;62.53;58.2;43.98;17.4;70.08;69.42;39.18;39.12;79.38;64.33;34.7;36.62;52.23;11.72;28.8;66.82;64.32;9.37;76.42;62.68;70.97;34.32;51.88;75.25;79.83;38.77;32.33;20.47;73.0;58.02;54.7;16.5;72.0;66.63;11.65;85.42;66.98;56.52;13.2;19.5;75.57;47.62;13.73;67.38;57.2;25.73;81.13;77.43;61.15;75.72;84.75;32.93;42.38;32.5;76.67;33.92;13.15;37.92
Casalpusterlengo, Pusterla 7;34.22;25.38;29.13;37.52;36.77;25.72;38.85;36.62;36.13;59.8;0.23;20.85;30.05;48.38;29.57;27.8;31.22;31.22;23.73;27.83;36.87;41.68;20.48;58.52;46.12;29.45;26.8;59.93;27.7;17.43;32.27;49.0;25.45;31.12;31.28;34.25;43.27;50.27;33.47;13.05;47.62;65.25;33.27;21.3;65.08;36.88;30.63;22.32;54.07;53.93;37.02;20.5;53.25;38.58;27.22;41.08;31.5;33.77;30.38;31.23;41.75;37.82;32.65;35.02;36.2;48.58;54.17;26.62
Castelleone, Roma, 67;27.48;14.95;20.6;30.65;20.3;16.18;24.98;19.78;19.72;56.65;20.98;0.43;23.17;41.52;14.7;14.27;26.27;26.27;24.22;7.75;30.0;34.82;13.77;51.65;41.47;10.28;9.07;53.1;21.12;6.92;15.25;42.13;15.03;19.88;24.58;27.38;36.4;45.62;17.77;18.22;39.4;70.77;16.83;10.8;58.22;30.23;10.48;8.87;47.22;47.05;20.5;16.33;46.37;18.47;10.33;34.2;25.87;22.35;12.2;20.5;29.6;33.28;28.35;28.13;23.03;41.7;47.33;21.5
Castelverde, Ubaldo Ferrari, 15;48.47;14.77;41.53;15.02;38.35;37.77;43.02;8.58;37.72;41.25;30.82;23.88;0.78;26.02;35.78;35.32;11.05;11.03;45.25;28.02;14.58;19.18;17.98;36.15;26.07;30.83;30.1;37.53;42.2;28.47;34.13;26.75;14.85;40.97;45.68;11.83;21.02;30.23;37.67;24.03;30.87;55.38;36.28;32.38;42.68;51.25;28.28;22.33;31.68;31.57;38.55;13.22;30.85;27.13;18.22;18.7;46.93;42.17;24.68;41.62;47.62;17.9;12.52;12.6;42.58;26.3;31.82;8.3
