;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Annicco, Giuseppe Garibaldi, 6;4.0;7.0;7.0;5.0;4.0;7.0;4.0;4.0;4.0;5.0;6.0;6.5;4.0;6.0;5.5;-1;4.5;4.0;6.0;4.5;4.0;6.0;4.0;6.0;6.0;6.0;4.0;7.0;7.0;5.0;4.0;7.0;7.0;5.5;4.5;6.5;5.0;4.0;5.5;4.5;4.0;4.0;7.0;6.0;5.5;4.0;6.0;5.0;6.0;4.0;6.0;4.0;5.0;5.5;5.0;5.5;7.0;6.0;7.0;4.0;5.5;5.0;5.0;7.0;3.0
Bagnolo Cremasco, Roma, 3;4.0;7.0;7.0;5.0;4.0;7.0;4.0;4.0;4.0;5.0;6.0;6.5;4.0;6.0;5.5;-1;4.5;4.0;6.0;4.5;4.0;6.0;4.0;6.0;6.0;6.0;4.0;7.0;7.0;5.0;4.0;7.0;7.0;5.5;4.5;6.5;5.0;4.0;5.5;4.5;4.0;4.0;7.0;6.0;5.5;4.0;6.0;5.0;6.0;4.0;6.0;4.0;5.0;5.5;5.0;5.5;7.0;6.0;7.0;4.0;5.5;5.0;5.0;7.0;3.0
Bonemerse, Roma, 25;1.0;3.0;3.0;7.0;1.0;3.0;1.0;1.0;1.0;2.0;3.0;3.0;1.0;3.0;3.5;-1;4.0;1.0;3.0;4.0;1.0;3.0;1.0;3.0;3.0;3.0;1.0;3.0;3.0;2.0;4.5;3.0;3.0;2.0;4.0;3.0;2.0;1.0;5.0;4.0;1.0;1.0;3.0;3.0;2.0;1.0;3.0;2.0;3.0;1.0;3.0;4.5;2.0;5.0;7.0;2.0;3.0;3.0;3.0;1.0;2.0;7.0;7.0;3.0;2.0
Camisano, Trieste, 57;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Capergnanica, XI febbraio, 7;4.0;7.0;7.0;5.0;4.0;7.0;4.0;4.0;4.0;5.0;6.0;6.5;4.0;6.0;5.5;-1;4.5;4.0;6.0;4.5;4.0;6.0;4.0;6.0;6.0;6.0;4.0;7.0;7.0;5.0;4.0;7.0;7.0;5.5;4.5;6.5;5.0;4.0;5.5;4.5;4.0;4.0;7.0;6.0;5.5;4.0;6.0;5.0;6.0;4.0;6.0;4.0;5.0;5.5;5.0;5.5;7.0;6.0;7.0;4.0;5.5;5.0;5.0;7.0;3.0
Capralba, Piave, 2;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Casalbuttano ed Uniti, Jacini, 23;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Casale Cremasco-Vidolasco, Roma, 56;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Casalmaggiore, Guglielmo Marconi, 8;4.5;3.0;3.0;2.0;4.5;3.0;4.5;4.5;4.5;5.0;5.5;4.2;4.5;5.5;3.8;-1;3.2;4.5;5.5;3.2;4.5;5.5;4.5;5.5;5.5;5.5;4.5;3.0;3.0;5.0;2.0;3.0;3.0;3.8;3.2;4.2;5.0;4.5;3.8;3.2;4.5;4.5;3.0;5.5;3.8;4.5;5.5;5.0;5.5;4.5;5.5;2.0;5.0;3.8;2.0;3.8;3.0;5.5;3.0;4.5;3.8;2.0;2.0;3.0;2.0
Casalpusterlengo, Pusterla 7;2.0;4.0;4.0;1.0;2.0;4.0;2.0;2.0;2.0;4.5;7.0;5.5;2.0;7.0;3.5;-1;1.5;2.0;7.0;1.5;2.0;7.0;2.0;7.0;7.0;7.0;2.0;4.0;4.0;4.5;2.0;4.0;4.0;3.0;1.5;5.5;4.5;2.0;4.0;1.5;2.0;2.0;4.0;7.0;3.0;2.0;7.0;4.5;7.0;2.0;7.0;2.0;4.5;4.0;1.0;3.0;4.0;7.0;4.0;2.0;3.0;1.0;1.0;4.0;3.0
Castelleone, Roma, 67;3.0;5.5;5.5;3.0;3.0;5.5;3.0;3.0;3.0;4.8;6.5;6.0;3.0;6.5;4.5;-1;3.0;3.0;6.5;3.0;3.0;6.5;3.0;6.5;6.5;6.5;3.0;5.5;5.5;4.8;3.0;5.5;5.5;4.2;3.0;6.0;4.8;3.0;4.8;3.0;3.0;3.0;5.5;6.5;4.2;3.0;6.5;4.8;6.5;3.0;6.5;3.0;4.8;4.8;3.0;4.2;5.5;6.5;5.5;3.0;4.2;3.0;3.0;5.5;3.0
Castelverde, Ubaldo Ferrari, 15;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Cingia de' Botti, Giuseppina, 79;2.0;4.0;4.0;1.0;2.0;4.0;2.0;2.0;2.0;4.5;7.0;5.5;2.0;7.0;3.5;-1;1.5;2.0;7.0;1.5;2.0;7.0;2.0;7.0;7.0;7.0;2.0;4.0;4.0;4.5;2.0;4.0;4.0;3.0;1.5;5.5;4.5;2.0;4.0;1.5;2.0;2.0;4.0;7.0;3.0;2.0;7.0;4.5;7.0;2.0;7.0;2.0;4.5;4.0;1.0;3.0;4.0;7.0;4.0;2.0;3.0;1.0;1.0;4.0;3.0
Crema, Civerchi, 9;3.5;4.0;4.0;4.0;3.5;4.0;3.5;3.5;3.5;4.2;5.0;4.5;3.5;5.0;4.1;-1;3.8;3.5;5.0;3.8;3.5;5.0;3.5;5.0;5.0;5.0;3.5;4.0;4.0;4.2;3.1;4.0;4.0;3.8;3.8;4.5;4.2;3.5;4.5;3.8;3.5;3.5;4.0;5.0;3.8;3.5;5.0;4.2;5.0;3.5;5.0;3.1;4.2;4.5;4.0;3.8;4.0;5.0;4.0;3.5;3.8;4.0;4.0;4.0;2.2
Crema, Dante Alighieri, 49;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cremona, Ugolani Dati, 4;4.0;2.5;2.5;5.0;4.0;2.5;4.0;4.0;4.0;3.8;3.5;3.0;4.0;3.5;3.8;-1;4.5;4.0;3.5;4.5;4.0;3.5;4.0;3.5;3.5;3.5;4.0;2.5;2.5;3.8;3.2;2.5;2.5;3.2;4.5;3.0;3.8;4.0;4.2;4.5;4.0;4.0;2.5;3.5;3.2;4.0;3.5;3.8;3.5;4.0;3.5;3.2;3.8;4.2;5.0;3.2;2.5;3.5;2.5;4.0;3.2;5.0;5.0;2.5;1.5
Dovera, Oldrini 2;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Fiesco, Giuseppe Parini, 10;2.0;4.0;4.0;1.0;2.0;4.0;2.0;2.0;2.0;4.5;7.0;5.5;2.0;7.0;3.5;-1;1.5;2.0;7.0;1.5;2.0;7.0;2.0;7.0;7.0;7.0;2.0;4.0;4.0;4.5;2.0;4.0;4.0;3.0;1.5;5.5;4.5;2.0;4.0;1.5;2.0;2.0;4.0;7.0;3.0;2.0;7.0;4.5;7.0;2.0;7.0;2.0;4.5;4.0;1.0;3.0;4.0;7.0;4.0;2.0;3.0;1.0;1.0;4.0;3.0
Gadesco-Pieve Delmona, Giovanni Lonati 9;4.0;2.5;2.5;5.0;4.0;2.5;4.0;4.0;4.0;3.8;3.5;3.0;4.0;3.5;3.8;-1;4.5;4.0;3.5;4.5;4.0;3.5;4.0;3.5;3.5;3.5;4.0;2.5;2.5;3.8;3.2;2.5;2.5;3.2;4.5;3.0;3.8;4.0;4.2;4.5;4.0;4.0;2.5;3.5;3.2;4.0;3.5;3.8;3.5;4.0;3.5;3.2;3.8;4.2;5.0;3.2;2.5;3.5;2.5;4.0;3.2;5.0;5.0;2.5;1.5
Grontardo, Roma, 16;7.0;2.0;2.0;3.0;7.0;2.0;7.0;7.0;7.0;5.5;4.0;3.0;7.0;4.0;4.0;-1;5.0;7.0;4.0;5.0;7.0;4.0;7.0;4.0;4.0;4.0;7.0;2.0;2.0;5.5;2.0;2.0;2.0;4.5;5.0;3.0;5.5;7.0;3.5;5.0;7.0;7.0;2.0;4.0;4.5;7.0;4.0;5.5;4.0;7.0;4.0;2.0;5.5;3.5;3.0;4.5;2.0;4.0;2.0;7.0;4.5;3.0;3.0;2.0;1.0
Grumello Cremonese ed Uniti, Roma, 2;2.0;4.0;4.0;1.0;2.0;4.0;2.0;2.0;2.0;4.5;7.0;5.5;2.0;7.0;3.5;-1;1.5;2.0;7.0;1.5;2.0;7.0;2.0;7.0;7.0;7.0;2.0;4.0;4.0;4.5;2.0;4.0;4.0;3.0;1.5;5.5;4.5;2.0;4.0;1.5;2.0;2.0;4.0;7.0;3.0;2.0;7.0;4.5;7.0;2.0;7.0;2.0;4.5;4.0;1.0;3.0;4.0;7.0;4.0;2.0;3.0;1.0;1.0;4.0;3.0
