;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;2289.0;6.0;26.0;24.0;28.0;16.0;126.0;0.0;14.0;54.0;0.0;140.0;28.0;35.0;1085.0;0;6.5;63.0;55.0;19.5;28.0;15.0;63.0;65.0;5.0;75.0;21.0;64.0;28.0;576.0;3.5;0.0;30.0;207.0;110.5;38.5;102.0;182.0;49.5;1183.0;0.0;147.0;62.0;0.0;90.0;42.0;0.0;114.0;0.0;70.0;0.0;56.0;192.0;297.0;144.0;58.5;18.0;15.0;4.0;7.0;31.5;18.0;6.0;2.0;11.0
Annicco, Giuseppe Garibaldi, 6;30.0;49.0;7.0;12.0;5.0;0.0;15.0;0.0;0.0;8.0;0.0;15.0;0.0;0.0;67.2;0;0.0;5.0;6.0;0.0;5.0;0.0;5.0;6.0;0.0;12.0;5.0;21.0;14.0;32.0;0.0;7.0;0.0;18.0;9.0;5.0;8.0;10.0;3.5;22.5;0.0;10.0;28.0;0.0;6.0;0.0;0.0;8.0;0.0;5.0;0.0;5.0;8.0;21.0;0.0;6.0;7.0;0.0;21.0;0.0;6.0;0.0;0.0;0.0;12.0
Bagnolo Cremasco, Roma, 3;400.0;126.0;1134.0;120.0;50.0;308.0;285.0;75.0;20.0;132.0;0.0;545.0;75.0;93.0;4267.2;0;85.5;180.0;81.0;22.5;40.0;33.0;160.0;96.0;24.0;351.0;25.0;763.0;385.0;1160.0;15.0;7.0;133.0;1068.0;270.0;445.0;288.0;390.0;119.0;2583.0;0.0;250.0;504.0;33.0;1188.0;115.0;3.0;200.0;0.0;230.0;3.0;140.0;564.0;532.0;308.0;642.0;133.0;60.0;252.0;0.0;174.0;40.0;8.0;7.0;222.0
Bonemerse, Roma, 25;4.0;3.0;6.0;56.0;0.0;9.0;1.0;0.0;0.0;3.5;0.0;18.0;2.0;24.0;243.6;0;4.0;3.0;6.0;0.0;1.0;0.0;7.0;30.0;0.0;30.0;0.0;12.0;18.0;42.0;0.0;0.0;21.0;46.0;36.0;40.5;24.5;2.0;39.0;180.0;0.0;3.0;15.0;6.0;12.0;1.0;0.0;17.5;0.0;5.0;6.0;9.0;52.5;84.5;112.0;14.0;15.0;12.0;3.0;0.0;6.0;0.0;7.0;0.0;14.0
Camisano, Trieste, 57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;35.0;0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;5.0;0.0;2.0;2.0;30.0;0.0;0.0;0.0;9.0;6.5;3.5;0.0;0.0;0.0;32.5;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;14.0;0.0;0.0;24.0;5.5;12.0;0.0;2.0;5.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0
Capergnanica, XI febbraio, 7;60.0;28.0;56.0;12.0;10.0;91.0;30.0;25.0;5.0;28.0;0.0;90.0;15.0;18.0;604.8;0;9.0;35.0;27.0;9.0;15.0;9.0;40.0;21.0;3.0;51.0;5.0;238.0;77.0;176.0;0.0;0.0;14.0;264.0;67.5;60.0;20.0;70.0;14.0;216.0;0.0;35.0;105.0;9.0;102.0;45.0;0.0;16.0;0.0;40.0;3.0;15.0;100.0;112.0;60.0;48.0;49.0;9.0;56.0;0.0;30.0;4.0;0.0;0.0;30.0
Capralba, Piave, 2;133.0;6.0;36.0;54.0;0.0;38.0;203.0;14.0;0.0;84.0;0.0;154.0;14.0;80.0;1790.0;0;58.5;168.0;40.0;26.0;35.0;10.0;49.0;120.0;5.0;360.0;7.0;76.0;106.0;720.0;7.0;0.0;12.0;279.0;130.0;136.5;60.0;154.0;77.0;825.5;0.0;210.0;76.0;30.0;81.0;84.0;0.0;108.0;0.0;98.0;0.0;84.0;378.0;313.5;132.0;126.0;20.0;25.0;36.0;0.0;108.0;18.0;0.0;0.0;23.0
Casalbuttano ed Uniti, Jacini, 23;42.0;4.0;12.0;12.0;7.0;6.0;7.0;70.0;7.0;6.0;0.0;10.5;7.0;5.0;245.0;0;6.5;14.0;10.0;6.5;0.0;0.0;28.0;5.0;0.0;20.0;7.0;22.0;8.0;84.0;0.0;0.0;4.0;45.0;0.0;21.0;18.0;14.0;11.0;110.5;0.0;35.0;10.0;0.0;27.0;14.0;0.0;42.0;0.0;14.0;10.0;7.0;42.0;60.5;6.0;13.5;2.0;5.0;6.0;0.0;9.0;12.0;0.0;0.0;2.0
Casale Cremasco-Vidolasco, Roma, 56;21.0;0.0;6.0;6.0;0.0;6.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;130.0;0;0.0;7.0;5.0;0.0;7.0;0.0;0.0;5.0;0.0;5.0;7.0;10.0;2.0;48.0;3.5;0.0;2.0;9.0;32.5;10.5;0.0;7.0;0.0;104.0;0.0;21.0;2.0;0.0;9.0;7.0;0.0;18.0;0.0;7.0;0.0;0.0;42.0;33.0;6.0;4.5;2.0;10.0;2.0;0.0;9.0;0.0;0.0;0.0;2.0
Casalmaggiore, Guglielmo Marconi, 8;256.5;12.0;147.0;126.0;9.0;84.0;198.0;135.0;4.5;2054.0;0.0;382.5;58.5;258.0;5527.2;0;16.0;166.5;156.0;36.0;54.0;96.0;126.0;288.0;12.0;624.0;63.0;258.0;162.0;1383.2;11.2;0.0;63.0;589.0;396.0;238.5;426.4;292.5;196.8;4892.0;0.0;261.0;195.0;66.0;406.6;139.5;0.0;754.0;0.0;216.0;72.0;162.4;1138.8;868.8;350.0;269.8;138.0;72.0;72.0;0.0;201.4;63.0;7.0;0.0;214.0
