;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;2289.0;15.0;91.0;16.0;12.0;56.0;54.0;0.0;6.0;45.0;0.0;160.0;20.0;42.0;1193.5;0;5.0;63.0;55.0;15.0;24.0;9.0;36.0;78.0;6.0;75.0;18.0;224.0;42.0;480.0;5.0;0.0;75.0;276.0;85.0;55.0;85.0;104.0;40.5;910.0;0.0;63.0;93.0;0.0;120.0;30.0;0.0;95.0;0.0;30.0;0.0;80.0;128.0;216.0;96.0;78.0;63.0;9.0;14.0;4.0;35.0;12.0;5.0;7.0;66.0
Annicco, Giuseppe Garibaldi, 6;12.0;49.0;2.0;18.0;5.0;0.0;15.0;0.0;0.0;7.0;0.0;18.0;0.0;0.0;56.0;0;0.0;2.0;14.0;0.0;1.0;0.0;6.0;2.0;0.0;28.0;1.0;6.0;10.0;28.0;0.0;7.0;0.0;13.5;7.0;3.5;7.0;12.0;3.0;17.5;0.0;10.0;20.0;0.0;4.5;0.0;0.0;7.0;0.0;5.0;0.0;3.5;12.0;36.0;0.0;4.5;2.0;0.0;6.0;0.0;3.5;0.0;0.0;0.0;2.0
Bagnolo Cremasco, Roma, 3;560.0;90.0;1134.0;120.0;30.0;308.0;171.0;75.0;12.0;165.0;0.0;436.0;75.0;186.0;4889.5;0;95.0;252.0;135.0;25.0;48.0;33.0;128.0;192.0;48.0;585.0;30.0;763.0;165.0;1450.0;15.0;5.0;95.0;1068.0;300.0;445.0;360.0;312.0;153.0;2870.0;0.0;150.0;216.0;44.0;1188.0;115.0;5.0;250.0;0.0;138.0;3.0;140.0;564.0;608.0;308.0;642.0;133.0;60.0;252.0;0.0;145.0;40.0;10.0;7.0;222.0
Bonemerse, Roma, 25;12.0;1.0;6.0;56.0;0.0;9.0;6.0;0.0;0.0;4.5;0.0;14.0;2.0;8.0;185.6;0;4.5;9.0;1.0;0.0;2.0;0.0;49.0;10.0;0.0;5.0;0.0;12.0;36.0;54.0;0.0;0.0;7.0;46.0;40.5;40.5;31.5;14.0;24.0;202.5;0.0;18.0;30.0;7.0;12.0;1.0;0.0;22.5;0.0;30.0;6.0;9.0;52.5;45.5;112.0;14.0;15.0;12.0;3.0;0.0;13.5;0.0;1.0;0.0;14.0
Camisano, Trieste, 57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;17.5;0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;3.0;2.0;0.0;4.0;7.0;10.0;0.0;0.0;0.0;6.0;2.0;2.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;18.0;4.5;2.0;0.0;4.0;7.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
Capergnanica, XI febbraio, 7;84.0;20.0;56.0;12.0;6.0;91.0;18.0;25.0;3.0;35.0;0.0;72.0;15.0;36.0;693.0;0;10.0;49.0;45.0;10.0;18.0;9.0;32.0;42.0;6.0;85.0;6.0;238.0;33.0;220.0;0.0;0.0;10.0;264.0;75.0;60.0;25.0;56.0;18.0;240.0;0.0;21.0;45.0;12.0;102.0;45.0;0.0;20.0;0.0;24.0;3.0;15.0;100.0;128.0;60.0;48.0;49.0;9.0;56.0;0.0;25.0;4.0;0.0;0.0;30.0
Capralba, Piave, 2;76.0;6.0;72.0;9.0;0.0;76.0;203.0;4.0;0.0;28.0;0.0;198.0;4.0;48.0;895.0;0;18.0;96.0;16.0;8.0;15.0;14.0;7.0;72.0;3.0;144.0;3.0;152.0;371.0;240.0;4.0;0.0;12.0;186.0;40.0;78.0;20.0;22.0;70.0;254.0;0.0;210.0;266.0;6.0;54.0;24.0;0.0;36.0;0.0;98.0;0.0;48.0;283.5;256.5;22.0;84.0;40.0;35.0;72.0;0.0;48.0;3.0;0.0;0.0;69.0
Casalbuttano ed Uniti, Jacini, 23;12.0;14.0;12.0;12.0;5.0;6.0;5.0;70.0;5.0;3.5;0.0;18.0;7.0;1.0;196.0;0;3.5;4.0;14.0;3.5;0.0;0.0;24.0;1.0;0.0;28.0;1.0;22.0;20.0;49.0;0.0;0.0;14.0;45.0;0.0;21.0;10.5;12.0;6.0;59.5;0.0;25.0;25.0;0.0;27.0;14.0;0.0;24.5;0.0;10.0;10.0;7.0;42.0;66.0;6.0;13.5;2.0;5.0;6.0;0.0;7.0;12.0;0.0;0.0;2.0
Casale Cremasco-Vidolasco, Roma, 56;12.0;0.0;12.0;1.0;0.0;12.0;0.0;0.0;7.0;0.0;0.0;9.0;0.0;0.0;65.0;0;0.0;4.0;2.0;0.0;3.0;0.0;0.0;3.0;0.0;2.0;3.0;20.0;7.0;16.0;2.0;0.0;2.0;6.0;10.0;6.0;0.0;1.0;0.0;32.0;0.0;21.0;7.0;0.0;6.0;2.0;0.0;6.0;0.0;7.0;0.0;0.0;31.5;27.0;1.0;3.0;4.0;14.0;4.0;0.0;4.0;0.0;0.0;0.0;6.0
Casalmaggiore, Guglielmo Marconi, 8;114.0;14.0;98.0;216.0;10.0;56.0;220.0;105.0;5.0;2054.0;0.0;357.0;45.5;193.5;5264.0;0;20.8;74.0;91.0;46.8;54.0;80.0;168.0;216.0;9.0;364.0;63.0;172.0;270.0;1383.2;20.8;0.0;73.5;434.0;514.8;275.6;426.4;390.0;196.8;6359.6;0.0;290.0;325.0;66.0;299.6;108.5;0.0;754.0;0.0;240.0;60.0;301.6;919.8;760.2;600.0;198.8;92.0;60.0;48.0;0.0;275.6;108.0;7.0;0.0;481.5
