;0
Agnadello, Marconi, 6;2714
Annicco, Giuseppe Garibaldi, 6;245
Bagnolo Cremasco, Roma, 3;1858
Bonemerse, Roma, 25;1073
Camisano, Trieste, 57;308
Capergnanica, XI febbraio, 7;1375
Capralba, Piave, 2;1672
Casalbuttano ed Uniti, Jacini, 23;632
Casale Cremasco-Vidolasco, Roma, 56;84
Casalmaggiore, Guglielmo Marconi, 8;1913
Casalpusterlengo, Pusterla 7;0
Castelleone, Roma, 67;2950
Castelverde, Ubaldo Ferrari, 15;262
Cingia de' Botti, Giuseppina, 79;1180
Crema, Civerchi, 9;38085
Cremona, Ugolani Dati, 4;1724
Dovera, Oldrini 2;1323
Fiesco, Giuseppe Parini, 10;894
Gadesco-Pieve Delmona, Giovanni Lonati 9;323
Grontardo, Roma, 16;314
Grumello Cremonese ed Uniti, Roma, 2;316
Gussola, Comaschi, 1;783
Isola Dovarese, Giacomo Matteotti, 1;1506
Izano, Gerardo da Izano, 4/C;172
Madignano, Portici, 4;4067
Martignana di Po, Libertà, 64;331
Monte Cremasco, Roma, 12;3290
Montodine,  XXV Aprile, 10;1822
Offanengo, Clavelli Martini, 5;9440
Ostiano, Mazzini, 1;119
Paderno Ponchielli, Municipio, 3;65
Palazzo Pignano, Marco Polo, 31;981
Pandino, Castello, 15;4785
Persico Dosimo, Albert ,7;2407
Pescarolo ed Uniti, Giuseppe Mazzini, 73;2023
Piadena, Platina, 40;2190
Pianengo, Nenni;2062
Pizzighettone, Giuseppe Garibaldi, 18;1102
Manerbio, INSURREZIONE NAZIONALE;16021
Viadana, A. Manzoni, 2;0
Ricengo, Guglielmo Marconi;1999
Ripalta Cremasca, Roma, 5;2654
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;189
Rivolta d'Adda, Stefano Renzi, 5;3419
Romanengo, Guaiarini, 14;882
San Bassano, Mons. Frosi;2
San Giovanni in Croce, Feudatari, 25 A;2062
Scandolara Ravara, Italia;0
Sergnano, IV Novembre,  10;1633
Sesto ed Uniti, Roma, 4;148
Solarolo Rainerio, Giuseppina, 81;1341
Soncino, Dante Alighieri, 23;6111
Soresina, Giacomo Matteotti, 6;5031
Sospiro, Tosi;2958
Spino d'Adda, Circonvallazione, 13;2180
Trescore Cremasco, Vittorio Veneto, 1;1723
Trigolo, Roma, 26;586
Vaiano Cremasco,  Gloriosi Caduti, 3;980
Vailate, Dante Alighieri, 7;47
Vescovato, Roma, 44;1315
Cremona, Felice Cavallotti, 2;273
Cremona, Palosca n. 2;104
Casaletto Vaprio, Maggiore, 7;65
Cremona, Sesto 39;2889
