;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;0;0;2;1;0;1;0;0;2;0;5;0;0;46;3;4;0;0;4;1;2;6;0;3;2;4;4;18;0;0;4;0;3;3;2;9;2;28;0;0;9;0;2;1;0;3;0;2;0;6;3;9;4;1;0;0;1;0;2;1;0;0;2
Annicco, Giuseppe Garibaldi, 6;2;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagnolo Cremasco, Roma, 3;10;0;0;2;1;3;5;2;0;5;0;21;3;8;113;10;6;1;3;3;1;0;5;0;17;2;12;5;31;2;1;3;15;15;22;6;10;6;99;0;2;8;0;31;2;0;6;0;5;0;4;10;18;7;19;2;5;0;0;2;2;0;0;5
Bonemerse, Roma, 25;0;0;1;0;0;0;0;0;0;0;0;0;1;1;7;1;3;0;0;1;0;0;2;0;1;0;2;1;4;0;0;0;2;1;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;1;6;7;1;1;1;0;0;0;0;0;0;2
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Capergnanica, XI febbraio, 7;0;0;1;1;1;0;1;1;0;1;0;0;0;2;13;0;0;0;0;0;1;0;0;0;1;0;2;1;3;0;0;0;3;4;0;0;1;1;7;0;0;1;0;2;0;0;0;0;1;0;0;2;5;0;0;0;0;1;0;1;0;0;0;0
Capralba, Piave, 2;1;0;3;2;0;1;0;0;0;2;0;7;0;6;51;4;6;2;1;1;0;1;4;1;10;0;4;9;12;0;0;2;3;6;2;0;5;3;20;0;1;4;1;1;0;0;0;0;4;0;5;4;11;2;1;1;0;0;0;6;2;0;0;2
Casalbuttano ed Uniti, Jacini, 23;1;1;0;1;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;3;1;2;0;0;0;1;0;0;0;1;0;4;0;1;1;0;1;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
Casale Cremasco-Vidolasco, Roma, 56;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0
Casalmaggiore, Guglielmo Marconi, 8;12;0;4;8;0;2;7;6;1;0;0;12;2;13;229;9;3;1;2;6;3;1;10;0;15;3;15;6;37;0;0;8;20;19;5;11;14;5;203;0;2;8;2;15;3;0;29;0;2;4;12;31;23;12;11;10;3;4;0;8;4;0;0;20
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;22;0;9;9;1;7;11;14;1;18;0;0;1;17;311;15;18;7;5;6;4;2;24;0;24;7;29;29;66;0;4;33;41;26;30;16;24;17;149;0;5;26;1;26;6;0;13;0;11;1;13;55;56;35;13;13;5;1;0;12;1;3;2;19
Castelverde, Ubaldo Ferrari, 15;2;0;0;1;0;0;0;1;0;3;0;3;0;0;21;1;2;0;0;0;0;0;3;0;2;0;1;0;4;0;0;1;1;3;0;1;1;1;26;0;1;0;0;0;1;0;1;0;0;1;0;2;4;2;0;0;1;0;0;0;0;0;0;2
