;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;3;2;0;0;0;0;0;1;1;0;5;0;2;19;1;1;1;0;0;2;4;0;0;1;0;14;2;18;0;0;7;4;6;0;3;5;1;42;0;7;9;0;2;2;0;5;0;1;0;2;8;11;5;0;2;0;0;1;1;2;0;0;1
Annicco, Giuseppe Garibaldi, 6;1;0;0;2;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;4;0;0;0;1;2;0;2;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0
Bagnolo Cremasco, Roma, 3;10;1;0;9;1;3;1;1;1;3;0;10;0;3;77;4;4;3;0;0;3;7;1;0;9;0;22;11;46;0;0;6;14;10;5;17;14;1;107;0;11;14;0;21;2;1;3;0;5;0;7;14;27;13;8;3;2;0;0;4;3;0;0;10
Bonemerse, Roma, 25;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;0;0;2;0;0;2;3;0;0;3;1;2;1;0;2;1;4;0;1;1;0;1;0;0;1;0;1;0;1;3;0;1;1;2;0;0;0;0;0;0;0;1
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capergnanica, XI febbraio, 7;2;1;0;0;1;0;0;1;0;0;0;2;1;0;6;0;0;0;0;2;0;1;0;0;2;0;10;1;6;0;0;0;4;1;0;2;2;0;4;0;0;0;0;5;0;0;1;0;1;0;1;1;5;5;2;0;1;0;0;3;0;0;0;2
Capralba, Piave, 2;1;0;0;3;0;3;0;0;0;0;0;0;1;1;19;0;2;0;1;1;1;0;1;0;3;0;5;3;7;0;0;0;7;2;0;3;2;1;19;0;1;5;0;0;0;0;0;0;1;0;3;3;4;2;6;0;0;0;0;3;0;0;0;6
Casalbuttano ed Uniti, Jacini, 23;1;0;0;1;0;2;0;0;0;0;0;1;0;0;5;0;0;1;0;0;0;1;0;0;1;0;2;0;5;0;0;2;0;0;0;1;0;0;5;0;1;0;0;0;1;0;3;0;0;1;0;1;3;0;0;0;0;0;0;0;1;0;0;0
Casale Cremasco-Vidolasco, Roma, 56;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Casalmaggiore, Guglielmo Marconi, 8;2;2;5;4;0;4;1;8;0;0;0;16;4;5;122;7;4;4;2;3;5;15;7;0;4;6;26;9;53;1;0;3;25;8;3;16;15;11;198;0;17;8;0;18;1;0;22;0;11;3;7;24;29;15;14;9;1;1;0;9;3;1;0;18
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;15;4;6;7;6;3;1;25;2;16;0;0;0;9;127;15;5;3;0;1;3;22;8;1;12;2;64;7;78;1;1;21;40;20;6;36;27;11;128;0;39;14;1;20;2;0;13;0;14;0;4;41;57;37;19;18;6;2;0;7;6;3;0;30
Castelverde, Ubaldo Ferrari, 15;0;0;0;1;0;0;0;0;0;3;0;1;0;2;11;1;0;0;0;1;1;0;0;0;0;1;1;0;2;0;0;1;3;1;0;2;1;0;18;0;1;0;0;1;0;0;0;0;1;0;0;4;2;2;1;0;0;0;0;2;0;0;0;0
Cingia de' Botti, Giuseppina, 79;2;0;1;2;0;1;0;0;0;0;0;7;1;0;15;0;5;1;0;0;1;3;0;0;1;1;5;4;8;0;0;3;1;6;1;1;4;0;18;0;1;3;0;1;0;0;3;0;2;0;5;7;8;2;2;3;0;0;0;1;0;0;0;2
Crema, Civerchi, 9;23;5;5;11;2;7;7;8;0;11;0;42;2;1;0;10;9;2;1;1;2;6;3;0;12;4;37;5;98;0;1;23;25;12;9;31;31;13;393;0;25;20;0;27;1;0;13;0;20;1;12;54;58;21;23;28;4;2;0;10;3;0;0;33
Cremona, Ugolani Dati, 4;29;0;0;0;0;12;0;0;0;1;0;5;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;3;0;1;4;1;0;155;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;17;7;0;0;1
Dovera, Oldrini 2;4;0;3;0;1;3;0;1;0;3;0;4;0;2;20;0;0;2;0;0;2;1;1;0;1;0;0;1;13;0;0;2;6;3;0;3;2;0;33;0;4;5;0;2;0;0;2;0;2;0;1;2;1;2;2;3;0;0;0;2;0;0;0;4
Fiesco, Giuseppe Parini, 10;0;0;0;2;0;0;0;0;0;1;0;0;0;0;6;2;0;0;1;0;0;0;0;0;0;0;2;0;6;0;0;0;5;2;1;3;1;1;8;0;1;1;0;1;0;0;0;0;0;0;1;3;6;0;1;0;0;0;0;1;1;0;0;0
Gadesco-Pieve Delmona, Giovanni Lonati 9;4;0;3;5;1;1;0;1;0;2;0;9;2;5;33;2;3;0;0;0;0;5;2;0;1;4;16;4;20;1;1;3;4;6;3;7;5;9;52;0;9;5;0;5;1;0;5;0;4;1;0;6;12;5;7;6;1;0;0;2;2;2;0;10
