;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;0;3;0;0;4;1;0;0;1;0;7;2;0;36;4;0;9;3;0;0;1;2;0;3;0;0;4;10;0;0;1;8;4;2;3;5;0;28;0;1;3;0;5;0;0;3;0;4;0;1;6;7;7;3;0;0;0;0;2;0;0;1;0
Annicco, Giuseppe Garibaldi, 6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bagnolo Cremasco, Roma, 3;13;5;0;6;5;13;3;4;3;7;0;32;5;4;204;9;3;16;1;0;4;11;6;0;30;0;6;7;59;0;0;7;34;13;20;13;9;7;95;0;4;6;3;42;7;0;14;0;10;0;5;32;25;29;15;5;0;15;0;8;3;2;1;4
Bonemerse, Roma, 25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;3;1;0;1;0;0;0;1;0;0;2;3;1;1;4;0;1;8;0;1;0;0;1;1;0;1;0;3;0;1;1;3;2;1;1;0;0;0;1;0;0;0;2
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
Capergnanica, XI febbraio, 7;4;0;2;0;0;0;0;2;1;2;0;6;1;1;32;0;2;4;1;0;2;4;5;0;9;0;4;2;12;0;0;2;5;7;1;1;2;0;12;0;0;3;2;3;4;0;1;0;4;0;1;10;6;5;1;2;0;4;0;1;0;0;0;1
Capralba, Piave, 2;4;1;2;0;0;9;0;0;0;1;0;6;0;2;60;1;1;6;1;0;0;1;1;0;11;0;1;6;14;0;0;1;6;0;6;1;2;3;22;0;2;3;2;3;2;0;3;0;1;0;1;10;10;5;5;2;1;5;0;0;0;0;0;3
Casalbuttano ed Uniti, Jacini, 23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;3;0;1;0;0;2;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0
Casale Cremasco-Vidolasco, Roma, 56;0;0;2;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;1;0;3;1;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
Casalmaggiore, Guglielmo Marconi, 8;9;1;5;2;0;11;12;6;0;0;0;15;3;11;235;8;3;3;1;0;4;7;11;0;20;0;1;9;29;0;0;6;24;19;13;16;14;5;199;0;3;9;3;20;8;0;19;0;13;1;14;28;39;16;11;7;1;5;0;8;2;0;0;16
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;17;4;25;11;5;19;15;7;1;18;0;0;7;10;343;16;8;23;3;1;5;22;16;1;41;0;10;19;84;0;0;21;40;30;37;22;17;13;159;0;2;14;6;25;7;0;23;0;22;1;17;46;51;37;26;10;8;20;0;18;4;2;3;31
Castelverde, Ubaldo Ferrari, 15;1;0;0;1;0;0;0;0;0;2;0;3;0;0;19;0;1;2;0;0;0;2;1;0;1;0;0;1;1;0;0;3;1;2;0;1;1;2;24;0;0;0;0;1;0;0;1;0;4;1;0;3;3;1;3;0;0;1;0;4;0;0;0;1
Cingia de' Botti, Giuseppina, 79;3;0;4;1;1;4;2;0;0;2;0;6;1;0;32;1;0;1;1;3;1;0;3;0;3;0;1;1;18;0;0;0;4;4;1;1;3;0;18;0;0;2;0;3;0;0;2;0;2;0;7;2;4;6;2;0;2;2;1;3;0;0;1;4
Crema, Civerchi, 9;26;17;18;9;10;18;15;7;1;21;0;56;2;11;0;17;5;33;4;1;2;13;13;1;51;0;12;12;85;0;0;26;64;22;20;22;23;9;442;0;9;24;4;45;14;0;18;0;25;0;13;52;52;45;29;12;11;18;0;13;2;1;5;38
Cremona, Ugolani Dati, 4;15;0;3;0;0;12;0;0;0;0;0;7;0;0;47;0;0;0;0;1;0;0;1;0;18;0;0;0;3;0;0;0;3;1;3;1;1;1;230;0;0;3;0;0;0;0;3;0;0;0;3;3;5;2;1;0;0;0;0;0;0;0;0;0
Dovera, Oldrini 2;3;0;3;3;0;2;0;1;0;1;0;5;0;0;32;3;0;0;0;0;0;1;2;0;5;0;0;1;12;0;0;2;10;4;3;4;4;0;29;0;0;3;0;2;1;0;1;0;3;0;2;5;1;4;1;2;1;1;0;2;1;0;1;3
Fiesco, Giuseppe Parini, 10;4;2;3;0;1;6;3;1;0;0;0;7;0;2;39;3;2;0;1;1;1;4;2;0;4;0;3;1;19;0;0;0;10;5;3;2;2;2;13;0;0;1;1;4;2;0;3;0;0;0;0;8;16;3;4;3;0;7;0;3;0;0;0;1
