;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;327;3;13;4;4;8;18;0;2;9;0;40;4;7;217;0;1;9;11;3;4;3;9;13;1;15;3;32;14;96;1;0;15;46;17;11;17;26;9;182;0;21;31;0;20;6;0;19;0;10;0;16;32;54;24;13;9;3;2;1;7;3;1;1;11
Annicco, Giuseppe Garibaldi, 6;6;7;1;3;1;0;3;0;0;2;0;3;0;0;14;0;0;1;2;0;1;0;1;2;0;4;1;3;2;8;0;1;0;3;2;1;2;2;1;5;0;2;4;0;1;0;0;2;0;1;0;1;2;6;0;1;1;0;3;0;1;0;0;0;2
Bagnolo Cremasco, Roma, 3;80;18;162;30;10;44;57;15;4;33;0;109;15;31;889;0;19;36;27;5;8;11;32;32;8;117;5;109;55;290;3;1;19;178;60;89;72;78;34;574;0;50;72;11;198;23;1;50;0;46;1;28;141;152;77;107;19;20;36;0;29;10;2;1;37
Bonemerse, Roma, 25;4;1;2;8;0;3;1;0;0;1;0;4;2;4;58;0;1;3;1;0;1;0;7;5;0;5;0;4;6;12;0;0;7;23;9;9;7;2;6;45;0;3;5;1;6;1;0;5;0;5;1;2;15;13;16;7;5;2;1;0;3;0;1;0;7
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;1;0;0;1;1;0;1;1;5;0;0;0;2;1;1;0;0;0;5;0;0;0;0;1;0;0;0;0;2;0;0;4;1;2;0;1;1;0;0;1;0;0;0;0
Capergnanica, XI febbraio, 7;12;4;8;3;2;13;6;5;1;7;0;18;3;6;126;0;2;7;9;2;3;3;8;7;1;17;1;34;11;44;0;0;2;44;15;12;5;14;4;48;0;7;15;3;17;9;0;4;0;8;1;3;25;32;15;8;7;3;8;0;5;1;0;0;5
Capralba, Piave, 2;19;3;18;9;0;19;29;2;0;14;0;44;2;16;358;0;9;24;8;4;5;2;7;24;1;72;1;38;53;120;2;0;6;62;20;39;10;22;14;127;0;30;38;6;18;12;0;18;0;14;0;24;63;57;22;28;10;5;18;0;24;3;0;0;23
Casalbuttano ed Uniti, Jacini, 23;6;2;6;2;1;3;1;10;1;1;0;3;1;1;49;0;1;2;2;1;0;0;4;1;0;4;1;11;4;14;0;0;2;10;0;6;3;2;2;17;0;5;5;0;6;2;0;7;0;2;2;2;7;11;1;3;1;1;3;0;2;2;0;0;2
Casale Cremasco-Vidolasco, Roma, 56;3;0;3;1;0;3;0;0;1;0;0;2;0;0;26;0;0;1;1;0;1;0;0;1;0;1;1;5;1;8;1;0;1;2;5;3;0;1;0;16;0;3;1;0;2;1;0;3;0;1;0;0;7;6;1;1;1;2;1;0;2;0;0;0;2
Casalmaggiore, Guglielmo Marconi, 8;57;4;49;36;2;28;44;30;1;395;0;85;13;43;1316;0;4;37;26;9;12;16;28;48;2;104;14;86;54;266;4;0;21;155;99;53;82;65;41;1223;0;58;65;11;107;31;0;145;0;48;12;58;219;181;100;71;46;12;24;0;53;18;2;0;107
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;119;15;94;48;15;55;73;83;11;99;0;298;11;63;1582;0;2;85;61;13;12;16;54;73;11;232;16;194;120;460;3;8;89;312;125;118;120;127;66;864;0;117;146;11;145;41;0;87;0;87;2;65;289;301;164;124;86;43;58;1;57;16;8;6;130
Castelverde, Ubaldo Ferrari, 15;5;0;5;6;0;1;2;1;0;13;0;12;7;2;117;0;1;5;2;0;1;1;2;10;0;5;1;3;2;17;1;0;5;11;8;4;8;7;5;125;0;5;2;0;8;1;0;7;0;7;4;1;25;19;8;7;2;1;3;0;9;2;2;0;7
Cingia de' Botti, Giuseppina, 79;9;0;10;5;2;8;10;1;0;7;0;20;2;1436;147;0;1;12;4;1;5;3;6;7;0;17;2;20;9;57;1;0;5;25;19;9;6;11;2;122;0;5;15;0;12;4;0;16;0;7;1;25;31;27;18;13;9;4;7;1;9;0;0;1;10
Crema, Civerchi, 9;157;35;118;46;17;81;90;39;7;102;0;216;11;50;1417;0;3;93;71;24;14;12;40;73;10;261;11;179;80;591;3;22;102;285;110;109;120;160;64;2540;0;120;184;12;249;51;0;99;0;102;5;59;370;331;179;147;125;53;45;3;83;17;3;6;187
Crema, Dante Alighieri, 49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cremona, Ugolani Dati, 4;1;0;2;1;0;59;4;1;0;2;0;6;0;6;5;0;1;0;0;0;1;1;2;2;0;1;0;2;3;8;0;0;0;8;1;9;1;1;1;7;0;3;2;0;1;2;0;4;0;1;0;2;1;3;1;1;0;0;0;1;41;1;0;0;2
Dovera, Oldrini 2;19;1;12;9;2;8;13;3;1;13;0;23;1;10;247;0;5;30;4;1;0;2;3;13;1;26;0;19;17;84;0;0;5;50;15;14;13;18;9;186;0;17;27;0;16;4;0;11;0;13;1;10;40;23;14;13;12;4;11;0;13;2;1;1;20
