;data_richiesta;biblioteca_destinazione
ANNICCO;2016-01-07;1
ANNICCO;2016-01-11;3
ANNICCO;2016-01-15;1
ANNICCO;2016-01-16;1
ANNICCO;2016-01-18;1
ANNICCO;2016-01-20;1
ANNICCO;2016-01-21;1
ANNICCO;2016-01-24;1
ANNICCO;2016-02-03;1
ANNICCO;2016-02-08;1
ANNICCO;2016-02-22;2
ANNICCO;2016-02-23;1
ANNICCO;2016-02-26;1
ANNICCO;2016-03-13;1
ANNICCO;2016-03-14;1
ANNICCO;2016-04-11;2
ANNICCO;2016-04-13;1
ANNICCO;2016-04-23;1
ANNICCO;2016-04-30;1
ANNICCO;2016-05-13;1
ANNICCO;2016-05-16;1
ANNICCO;2016-06-27;1
ANNICCO;2016-07-04;1
ANNICCO;2016-07-27;2
ANNICCO;2016-08-01;1
ANNICCO;2016-09-12;3
ANNICCO;2016-09-19;1
ANNICCO;2016-09-23;1
ANNICCO;2016-10-07;1
ANNICCO;2016-10-27;1
ANNICCO;2016-10-28;1
ANNICCO;2016-10-29;1
ANNICCO;2016-11-04;1
ANNICCO;2016-11-05;1
ANNICCO;2016-11-07;1
ANNICCO;2016-12-09;1
ANNICCO;2017-01-03;1
ANNICCO;2017-01-16;2
ANNICCO;2017-01-17;1
ANNICCO;2017-01-21;1
ANNICCO;2017-02-17;1
ANNICCO;2017-03-14;1
ANNICCO;2017-03-17;1
ANNICCO;2017-04-13;1
ANNICCO;2017-05-06;1
ANNICCO;2017-05-17;1
ANNICCO;2017-05-26;1
ANNICCO;2017-06-12;1
ANNICCO;2017-06-28;1
ANNICCO;2017-06-30;1
ANNICCO;2017-07-20;1
ANNICCO;2017-07-26;1
ANNICCO;2017-07-31;1
ANNICCO;2017-08-04;1
ANNICCO;2017-08-21;1
ANNICCO;2017-08-28;1
ANNICCO;2017-08-29;1
ANNICCO;2017-09-08;1
ANNICCO;2017-09-12;1
ANNICCO;2017-09-18;1
ANNICCO;2017-09-19;1
ANNICCO;2017-09-23;1
ANNICCO;2017-10-16;1
ANNICCO;2017-11-07;1
ANNICCO;2017-11-28;1
ANNICCO;2017-12-01;1
ANNICCO;2017-12-02;1
ANNICCO;2017-12-04;1
ANNICCO;2017-12-11;1
ANNICCO;2017-12-14;1
ANNICCO;2017-12-18;1
ANNICCO;2018-01-03;1
ANNICCO;2018-01-12;1
ANNICCO;2018-01-16;1
ANNICCO;2018-02-12;1
ANNICCO;2018-02-19;1
ANNICCO;2018-03-07;1
ANNICCO;2018-03-19;1
ANNICCO;2018-04-04;1
ANNICCO;2018-04-06;1
ANNICCO;2018-04-13;1
ANNICCO;2018-04-26;2
ANNICCO;2018-04-28;1
ANNICCO;2018-05-10;1
ANNICCO;2018-05-27;1
ANNICCO;2018-06-07;1
ANNICCO;2018-06-21;1
ANNICCO;2018-06-23;1
ANNICCO;2018-07-02;1
ANNICCO;2018-07-05;1
ANNICCO;2018-07-17;2
ANNICCO;2018-09-18;1
ANNICCO;2018-09-22;1
ANNICCO;2018-10-05;1
ANNICCO;2018-10-11;1
ANNICCO;2018-10-19;1
ANNICCO;2018-11-02;1
ANNICCO;2018-11-29;1
ANNICCO;2018-12-03;1
ANNICCO;2018-12-05;1
Agnadello;2016-01-04;2
Agnadello;2016-01-06;2
Agnadello;2016-01-07;7
Agnadello;2016-01-08;1
Agnadello;2016-01-09;1
Agnadello;2016-01-11;4
Agnadello;2016-01-12;1
Agnadello;2016-01-13;1
Agnadello;2016-01-15;1
Agnadello;2016-01-16;1
Agnadello;2016-01-18;2
Agnadello;2016-01-19;1
Agnadello;2016-01-20;4
Agnadello;2016-01-21;2
Agnadello;2016-01-25;1
Agnadello;2016-01-26;2
Agnadello;2016-01-28;3
Agnadello;2016-01-31;1
Agnadello;2016-02-01;2
