;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;0;4;1;0;0;5;0;0;2;0;6;0;1;42;0;0;1;0;0;0;0;3;0;2;0;0;2;16;1;0;2;6;0;4;0;3;1;19;0;2;1;0;6;2;0;0;0;0;0;1;5;6;3;3;4;1;1;0;1;0;0;0;2
Annicco, Giuseppe Garibaldi, 6;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Bagnolo Cremasco, Roma, 3;17;0;0;5;0;13;11;2;0;8;0;8;0;2;72;1;4;4;0;0;1;0;4;1;12;0;4;8;23;1;0;0;22;0;9;0;3;4;51;0;6;7;0;60;4;0;8;0;3;0;1;15;17;9;2;0;5;2;0;3;0;0;0;4
Bonemerse, Roma, 25;1;0;0;0;0;1;1;0;0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;1;0;1;12;0;1;2;1;2;0;0;0;0;1;0;0;4;2;3;2;0;1;0;0;1;0;0;0;1
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Capergnanica, XI febbraio, 7;2;1;4;0;0;0;1;0;0;3;0;2;0;0;21;0;1;4;0;0;0;1;0;0;1;0;0;6;4;0;0;0;16;1;5;0;2;2;3;0;4;5;0;4;2;0;0;0;1;0;1;4;1;1;1;1;2;1;0;0;1;0;0;1
Capralba, Piave, 2;2;1;4;1;0;2;0;1;0;6;0;9;0;0;60;5;6;0;0;0;0;1;0;0;15;0;0;12;25;2;0;0;10;1;10;0;2;3;17;0;8;12;1;7;3;0;6;0;3;0;3;12;6;5;3;0;3;6;0;6;0;0;0;1
Casalbuttano ed Uniti, Jacini, 23;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Casale Cremasco-Vidolasco, Roma, 56;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Casalmaggiore, Guglielmo Marconi, 8;11;0;14;1;0;4;9;1;0;0;0;11;3;3;156;5;5;6;0;0;2;0;6;1;13;0;4;11;33;1;0;0;24;10;3;6;6;4;159;0;6;11;1;14;7;0;22;0;5;0;5;40;33;17;13;0;6;2;0;6;2;0;0;10
Casalpusterlengo, Pusterla 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelleone, Roma, 67;23;0;14;1;0;12;16;6;0;14;0;0;0;5;155;9;16;18;2;0;0;2;3;0;44;0;4;27;45;1;0;3;39;5;11;1;19;6;96;0;24;35;0;24;8;0;8;0;7;0;7;39;30;18;14;2;10;11;0;5;0;0;0;5
Castelverde, Ubaldo Ferrari, 15;0;0;2;1;0;0;0;0;0;1;0;0;0;0;12;0;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;2;0;3;0;1;0;13;0;1;0;0;2;0;0;0;0;0;0;1;4;1;1;1;0;0;1;0;1;1;1;0;1
Cingia de' Botti, Giuseppina, 79;1;0;1;0;0;1;2;0;0;1;0;0;0;0;18;1;1;1;0;0;0;0;1;0;5;0;0;3;8;1;0;1;6;0;2;1;1;0;17;0;0;3;0;1;1;0;1;0;0;0;2;7;2;3;0;0;1;0;0;1;0;0;0;0
Crema, Civerchi, 9;20;0;23;3;1;16;20;4;1;13;0;21;0;6;0;4;14;21;1;0;3;0;4;1;36;0;5;9;66;0;0;3;31;7;12;5;24;11;254;0;28;23;2;46;7;0;11;0;11;0;5;41;33;25;11;7;10;3;0;11;1;2;1;7
Cremona, Ugolani Dati, 4;41;0;0;0;0;11;4;1;0;0;0;4;0;1;35;0;0;0;0;0;0;0;2;0;14;0;0;2;6;0;0;0;3;0;2;0;2;0;103;0;1;2;0;0;1;0;1;0;0;0;0;0;6;0;3;0;0;0;0;0;0;0;0;0
Dovera, Oldrini 2;2;0;2;1;0;2;3;0;0;1;0;0;0;2;32;0;0;2;0;0;0;0;0;0;6;0;1;4;7;0;0;0;5;0;3;0;1;0;19;0;6;6;0;5;2;0;2;0;2;0;0;8;2;2;0;2;2;2;0;3;1;0;0;3
Fiesco, Giuseppe Parini, 10;1;0;0;0;0;0;4;0;0;1;0;1;0;0;6;2;2;0;0;0;0;1;0;0;1;1;1;0;4;1;0;0;5;0;1;0;1;1;6;0;4;1;0;2;0;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;0;0;0;1
Gadesco-Pieve Delmona, Giovanni Lonati 9;5;0;5;1;0;1;5;0;0;2;0;3;0;1;50;2;5;0;0;0;1;0;1;0;5;0;2;1;18;0;0;1;5;0;7;2;0;6;35;0;6;7;0;5;5;0;14;0;1;0;1;9;11;2;5;10;2;5;0;2;0;0;0;3
Grontardo, Roma, 16;2;0;2;1;0;0;0;0;0;1;0;2;0;1;10;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;3;0;0;2;11;0;1;5;0;2;0;0;2;0;0;0;0;1;5;1;1;1;1;0;0;0;0;0;0;1
Grumello Cremonese ed Uniti, Roma, 2;1;0;0;0;0;0;2;0;0;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0;1;0;0;0;2;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;3;1;0;0;0;0;0;0
Gussola, Comaschi, 1;1;0;1;2;0;1;1;0;0;0;0;1;0;1;13;0;2;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;4;0;0;0;0;6;0;2;2;0;0;1;0;5;0;0;0;1;2;0;1;2;2;0;0;0;0;0;0;0;1
Isola Dovarese, Giacomo Matteotti, 1;0;0;2;2;0;1;1;0;0;1;0;2;0;0;11;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5;0;3;0;2;0;7;0;2;2;0;4;0;0;2;0;0;0;0;7;7;3;1;0;0;0;0;0;0;0;0;1
Izano, Gerardo da Izano, 4/C;1;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;2;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2
Madignano, Portici, 4;7;0;3;2;0;2;2;0;0;6;0;3;0;0;37;1;3;10;0;0;0;0;0;0;0;0;6;7;9;0;0;0;9;0;1;1;9;0;32;0;2;5;0;6;1;0;7;0;1;0;4;10;6;5;2;0;1;2;0;3;0;0;0;2
