;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Agnadello, Marconi, 6;0;0;3;1;1;3;4;0;0;0;0;8;0;2;27;3;3;0;0;0;0;1;0;0;2;1;9;0;17;0;0;1;9;2;0;6;2;3;27;0;5;2;0;1;1;0;7;0;1;0;4;4;11;1;3;3;0;0;0;1;0;0;0;3
Annicco, Giuseppe Garibaldi, 6;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1
Bagnolo Cremasco, Roma, 3;8;11;0;2;1;9;27;3;0;3;0;20;4;7;137;3;10;1;0;2;1;12;6;0;16;3;43;7;67;0;0;3;41;9;14;22;21;5;87;0;15;7;8;13;7;0;8;0;13;0;6;34;23;5;23;6;2;13;0;6;1;0;0;4
Bonemerse, Roma, 25;0;1;1;0;0;2;0;0;0;1;0;1;1;0;10;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;4;3;4;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;2;1;2;1;1;0;1;0;1;0;1;0;1
Camisano, Trieste, 57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capergnanica, XI febbraio, 7;2;2;1;2;0;0;3;1;0;1;0;6;1;3;30;1;2;0;0;1;0;2;0;0;3;1;14;0;12;0;0;0;12;1;5;2;3;1;9;0;2;2;1;2;1;0;1;0;1;0;0;6;12;2;4;4;0;2;0;0;0;0;0;1
Capralba, Piave, 2;8;1;5;2;0;2;0;1;0;3;0;13;1;3;70;5;6;0;0;3;0;4;4;0;14;1;16;4;31;0;0;3;17;3;9;4;2;3;25;0;14;2;0;2;5;0;5;0;4;0;5;15;14;3;10;4;0;5;0;4;1;0;0;2
Casalbuttano ed Uniti, Jacini, 23;0;0;3;0;0;0;1;0;1;0;0;2;0;0;9;0;1;0;1;0;0;0;0;0;1;1;3;1;2;0;0;0;2;0;2;0;0;0;1;0;0;1;0;1;0;0;3;0;0;1;0;0;1;0;1;0;0;3;0;0;0;0;0;1
Casale Cremasco-Vidolasco, Roma, 56;1;0;0;0;0;2;0;0;0;0;0;1;0;0;8;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0
Casalmaggiore, Guglielmo Marconi, 8;8;1;14;5;0;5;8;4;0;0;0;6;0;7;220;5;8;1;1;0;1;4;6;0;19;5;12;4;52;0;0;1;25;12;13;18;8;6;172;0;18;6;2;11;6;0;26;0;3;0;8;38;26;13;12;11;0;6;0;10;1;0;0;16
