lunedi;martedi;mercoledi;giovedi;venerdi
10:00;08:30;10:30;08:30;10:30
10:10;10:00;10:45;10:00;11:05
10:30;10:15;10:55;10:30;11:25
10:45;10:30;11:00;10:15;11:40
11:00;10:45;11:20;10:25;12:00
11:20;10:50;11:20;10:30;12:20
11:35;11:00;11:40;10:45;12:35
11:45;11:10;12:00;10:55;13:45
12:10;11:30;12:30;11:45;14:15
13:30;11:40;12:30;11:05;14:40
14:10;11:50;13:30;11:55;14:55
14:40;11:55;14:15;11:30;15:10
15:05;12:15;14:25;12:15;
15:30;15:00;14:40;15:00;
;15:00;15:00;15:00;
;15:30;15:30;15:15;
;15:30;15:50;15:30;
;15:40;;15:40;
;16:00;;15:40;
;16:00;;16:00;
;16:15;;16:20;
;16:30;;16:45;
