lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Persico Dosimo, Albert ,7;Casalbuttano ed Uniti, Jacini, 23;Offanengo, Clavelli Martini, 5;Casaletto Vaprio, Maggiore, 7
Pizzighettone, Giuseppe Garibaldi, 18;Casalpusterlengo, Pusterla 7;Paderno Ponchielli, Municipio, 3;Crema, Civerchi, 9;Trescore Cremasco, Vittorio Veneto, 1
Castelleone, Roma, 67;Pianengo, Nenni;Soresina, Giacomo Matteotti, 6;Casalpusterlengo, Pusterla 7;Pandino, Castello, 15
Montodine,  XXV Aprile, 10;Vailate, Dante Alighieri, 7;Soncino, Dante Alighieri, 23;Pizzighettone, Giuseppe Garibaldi, 18;Agnadello, Marconi, 6
Ripalta Cremasca, Roma, 5;Crema, Civerchi, 9;Pandino, Castello, 15;Cremona, Ugolani Dati, 4;Rivolta d'Adda, Stefano Renzi, 5
Capralba, Piave, 2;Offanengo, Clavelli Martini, 5;Bagnolo Cremasco, Roma, 3;Persico Dosimo, Albert ,7;Spino d'Adda, Circonvallazione, 13
Sergnano, IV Novembre,  10;Manerbio, INSURREZIONE NAZIONALE;Romanengo, Guaiarini, 14;Grontardo, Roma, 16;Dovera, Oldrini 2
Camisano, Trieste, 57;Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Monte Cremasco, Roma, 12
Casale Cremasco;Vescovato, Roma, 44;Ostiano, Mazzini, 1;Cingia de' Botti, Giuseppina, 79;Vaiano Cremasco,  Gloriosi Caduti, 3
Ricengo, Guglielmo Marconi;Solarolo Rainerio, Giuseppina, 81;;Martignana di Po, Libertà, 64;Bagnolo Cremasco, Roma, 3
Soncino, Dante Alighieri, 23;Gussola, Comaschi, 1;;San Giovanni in Croce, Feudatari, 25 A;Capergnanica, XI febbraio, 7
Trigolo, Roma, 26;Viadana, A. Manzoni, 2;;Isola Dovarese, Giacomo Matteotti, 1;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;;;
