lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Casalpusterlengo, Pusterla 7;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4;Casaletto Vaprio, Maggiore, 7
Pizzighettone, Giuseppe Garibaldi, 18;Vailate, Dante Alighieri, 7;Castelleone, Roma, 67;Persico Dosimo, Albert ,7;Trescore Cremasco, Vittorio Veneto, 1
Castelleone, Roma, 67;Crema, Civerchi, 9;Madignano, Portici, 4;Grontardo, Roma, 16;Pandino, Castello, 15
Montodine,  XXV Aprile, 10;Persico Dosimo, Albert ,7;Bagnolo Cremasco, Roma, 3;Vescovato, Roma, 44;Agnadello, Marconi, 6
Ripalta Cremasca, Roma, 5;Scandolara Ravara, Italia;Palazzo Pignano, Marco Polo, 31;Crema, Civerchi, 9;Rivolta d'Adda, Stefano Renzi, 5
Ricengo, Guglielmo Marconi;Casalmaggiore, Guglielmo Marconi, 8;Pandino, Castello, 15;Offanengo, Clavelli Martini, 5;Spino d'Adda, Circonvallazione, 13
Capralba, Piave, 2;San Giovanni in Croce, Feudatari, 25 A;Rivolta d'Adda, Stefano Renzi, 5;Izano, Gerardo da Izano, 4/C;Dovera, Oldrini 2
Sergnano, IV Novembre,  10;Ostiano, Mazzini, 1;Spino d'Adda, Circonvallazione, 13;Manerbio, INSURREZIONE NAZIONALE;Monte Cremasco, Roma, 12
Casale Cremasco-Vidolasco, Roma, 56;Ostiano, Mazzini, 1;Romanengo, Guaiarini, 14;Casalmaggiore, Guglielmo Marconi, 8;Vaiano Cremasco,  Gloriosi Caduti, 3
Camisano, Trieste, 57;; Ostiano, Mazzini, 1;San Giovanni in Croce, Feudatari, 25 A;Bagnolo Cremasco, Roma, 3
Soncino, Dante Alighieri, 23;;;Piadena, Platina, 40;Capergnanica, XI febbraio, 7
Trigolo, Roma, 26;;;Isola Dovarese, Giacomo Matteotti, 1;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;;;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;;;Ostiano, Mazzini, 1;
