martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Felice Cavallotti, 2;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4
Bonemerse, Roma, 25;San Bassano, Mons. Frosi;Pizzighettone, Giuseppe Garibaldi, 18
Sospiro, Tosi;Castelleone, Roma, 67;Izano, Gerardo da Izano, 4/C
Gadesco-Pieve Delmona, Giovanni Lonati 9;Madignano, Portici, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Pescarolo ed Uniti, Giuseppe Mazzini, 73;Palazzo Pignano, Marco Polo, 31;Vescovato, Roma, 44
Piadena, Platina, 40;Rivolta d'Adda, Stefano Renzi, 5;Ostiano, Mazzini, 1
Casalmaggiore, Guglielmo Marconi, 8;Spino d'Adda, Circonvallazione, 13;Piadena, Platina, 40
Scandolara Ravara, Italia;Cremona, Palosca n. 2;Solarolo Rainerio, Giuseppina, 81
San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A;Casalmaggiore, Guglielmo Marconi, 8
San Giovanni in Croce, Feudatari, 25 A;;San Giovanni in Croce, Feudatari, 25 A
