martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Ugolani Dati, 4
Bonemerse, Roma, 25;Casalbuttano ed Uniti, Jacini, 23;Gadesco
Sospiro, Tosi;Soresina, Giacomo Matteotti, 6;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Pescarolo ed Uniti, Giuseppe Mazzini, 73;Soncino, Dante Alighieri, 23;Pizzighettone, Giuseppe Garibaldi, 18
Vescovato, Roma, 44;Fiesco, Giuseppe Parini, 10;Martignana di Po, Libertà, 64
Gadesco;San Bassano, Mons. Frosi;Solarolo Rainerio, Giuseppina, 81
Pianengo, Nenni;Paderno Ponchielli, Municipio, 3;Cingia de' Botti, Giuseppina, 79
Offanengo, Clavelli Martini, 5;San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A
Manerbio, INSURREZIONE NAZIONALE;;
Viadana, A. Manzoni, 2;;
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;
Gussola, Comaschi, 1;;
Solarolo Rainerio, Giuseppina, 81;;
Piadena, Platina, 40;;
San Giovanni in Croce, Feudatari, 25 A;;
