martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Ugolani Dati, 4;Casalbuttano ed Uniti, Jacini, 23;Cremona, Ugolani Dati, 4
Cremona, Felice Cavallotti, 2;Castelverde, Ubaldo Ferrari, 15;Cremona, Ugolani Dati, 4
Bonemerse, Roma, 25;Persico Dosimo, Albert ,7;Pizzighettone, Giuseppe Garibaldi, 18
Sospiro, Tosi;Gadesco-Pieve Delmona, Giovanni Lonati 9;Pizzighettone, Giuseppe Garibaldi, 18
Piadena, Platina, 40;Cremona, Palosca n. 2;Casalpusterlengo, Pusterla 7
San Giovanni in Croce, Feudatari, 25 A;Solarolo Rainerio, Giuseppina, 81;Crema, Civerchi, 9
Solarolo Rainerio, Giuseppina, 81;Casalmaggiore, Guglielmo Marconi, 8;Offanengo, Clavelli Martini, 5
Scandolara Ravara, Italia;Martignana di Po, Libertà, 64;Ricengo, Guglielmo Marconi
Gussola, Comaschi, 1;San Giovanni in Croce, Feudatari, 25 A;Soncino, Dante Alighieri, 23
Casalmaggiore, Guglielmo Marconi, 8;;Izano, Gerardo da Izano, 4/C
Viadana, A. Manzoni, 2;;Manerbio, INSURREZIONE NAZIONALE
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;Cingia de' Botti, Giuseppina, 79
San Giovanni in Croce, Feudatari, 25 A;;San Giovanni in Croce, Feudatari, 25 A
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
