lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Persico Dosimo, Albert ,7;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Gadesco-Pieve Delmona, Giovanni Lonati 9;Paderno Ponchielli, Municipio, 3;Persico Dosimo, Albert ,7;Casaletto Vaprio, Maggiore, 7
Pizzighettone, Giuseppe Garibaldi, 18;Vescovato, Roma, 44;Soresina, Giacomo Matteotti, 6;Gadesco-Pieve Delmona, Giovanni Lonati 9;Trescore Cremasco, Vittorio Veneto, 1
Castelleone, Roma, 67;Pescarolo ed Uniti, Giuseppe Mazzini, 73;San Bassano, Mons. Frosi;Vescovato, Roma, 44;Pandino, Castello, 15
Montodine,  XXV Aprile, 10;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Grontardo, Roma, 16;Agnadello, Marconi, 6
Ripalta Cremasca, Roma, 5;Crema, Civerchi, 9;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Rivolta d'Adda, Stefano Renzi, 5
Ricengo, Guglielmo Marconi;Pianengo, Nenni;Romanengo, Guaiarini, 14;Cingia de' Botti, Giuseppina, 79;Spino d'Adda, Circonvallazione, 13
Capralba, Piave, 2;Vailate, Dante Alighieri, 7;Soncino, Dante Alighieri, 23;Solarolo Rainerio, Giuseppina, 81;Dovera, Oldrini 2
Sergnano, IV Novembre,  10;Offanengo, Clavelli Martini, 5;Madignano, Portici, 4;Casalmaggiore, Guglielmo Marconi, 8;Monte Cremasco, Roma, 12
Casale Cremasco-Vidolasco, Roma, 56;Manerbio, INSURREZIONE NAZIONALE;Crema, Civerchi, 9;Martignana di Po, Libertà, 64;Vaiano Cremasco,  Gloriosi Caduti, 3
Camisano, Trieste, 57;Ostiano, Mazzini, 1;Palazzo Pignano, Marco Polo, 31;San Giovanni in Croce, Feudatari, 25 A;Bagnolo Cremasco, Roma, 3
Soncino, Dante Alighieri, 23;Ostiano, Mazzini, 1;Pandino, Castello, 15;Piadena, Platina, 40;Capergnanica, XI febbraio, 7
Trigolo, Roma, 26;;Spino d'Adda, Circonvallazione, 13;Isola Dovarese, Giacomo Matteotti, 1;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;;Rivolta d'Adda, Stefano Renzi, 5;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
