lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Izano, Gerardo da Izano, 4/C;Grumello Cremonese ed Uniti, Roma, 2;Sesto ed Uniti, Roma, 4;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39
Crema, Civerchi, 9;Pizzighettone, Giuseppe Garibaldi, 18;Pizzighettone, Giuseppe Garibaldi, 18;Paderno Ponchielli, Municipio, 3;Cremona, Ugolani Dati, 4
Casaletto Vaprio, Maggiore, 7;Ostiano, Mazzini, 1;Casalpusterlengo, Pusterla 7;Soresina, Giacomo Matteotti, 6;Pizzighettone, Giuseppe Garibaldi, 18
Trescore Cremasco, Vittorio Veneto, 1;;Montodine,  XXV Aprile, 10;San Bassano, Mons. Frosi;Pandino, Castello, 15
Agnadello, Marconi, 6;;Ripalta Cremasca, Roma, 5;Castelleone, Roma, 67;Rivolta d'Adda, Stefano Renzi, 5
Spino d'Adda, Circonvallazione, 13;;Crema, Civerchi, 9;Fiesco, Giuseppe Parini, 10;Crema, Civerchi, 9
Dovera, Oldrini 2;;Monte Cremasco, Roma, 12;Romanengo, Guaiarini, 14;Offanengo, Clavelli Martini, 5
Vaiano Cremasco,  Gloriosi Caduti, 3;;Vailate, Dante Alighieri, 7;Soncino, Dante Alighieri, 23;Manerbio, INSURREZIONE NAZIONALE
Bagnolo Cremasco, Roma, 3;;Pianengo, Nenni;Camisano, Trieste, 57;Gadesco-Pieve Delmona, Giovanni Lonati 9
Capergnanica, XI febbraio, 7;;Ricengo, Guglielmo Marconi;Madignano, Portici, 4;Grontardo, Roma, 16
Ostiano, Mazzini, 1;;Offanengo, Clavelli Martini, 5;Crema, Civerchi, 9;Cingia de' Botti, Giuseppina, 79
;;Soresina, Giacomo Matteotti, 6;Palazzo Pignano, Marco Polo, 31;Solarolo Rainerio, Giuseppina, 81
;;Soncino, Dante Alighieri, 23;Pandino, Castello, 15;Casalmaggiore, Guglielmo Marconi, 8
;;Manerbio, INSURREZIONE NAZIONALE;Rivolta d'Adda, Stefano Renzi, 5;Martignana di Po, Libertà, 64
;;Cremona, Ugolani Dati, 4;Spino d'Adda, Circonvallazione, 13;Piadena, Platina, 40
;;Bonemerse, Roma, 25;Casalpusterlengo, Pusterla 7;Isola Dovarese, Giacomo Matteotti, 1
;;Sospiro, Tosi;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1
;;Ostiano, Mazzini, 1;;
