martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Palosca n. 2;Pizzighettone, Giuseppe Garibaldi, 18;Cremona, Felice Cavallotti, 2
Casalbuttano ed Uniti, Jacini, 23;San Bassano, Mons. Frosi;Soresina, Giacomo Matteotti, 6
Offanengo, Clavelli Martini, 5;Paderno Ponchielli, Municipio, 3;Soncino, Dante Alighieri, 23
Vailate, Dante Alighieri, 7;Soresina, Giacomo Matteotti, 6;Sergnano, IV Novembre,  10
Ripalta Cremasca, Roma, 5;Fiesco, Giuseppe Parini, 10;Capralba, Piave, 2
Castelleone, Roma, 67;Crema, Civerchi, 9;Pandino, Castello, 15
Grumello Cremonese ed Uniti, Roma, 2;Vaiano Cremasco,  Gloriosi Caduti, 3;Persico Dosimo, Albert ,7
Gadesco-Pieve Delmona, Giovanni Lonati 9;Pandino, Castello, 15;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Ostiano, Mazzini, 1;Casaletto Vaprio, Maggiore, 7;Scandolara Ravara, Italia
Sospiro, Tosi;Casale Cremasco-Vidolasco, Roma, 56;San Giovanni in Croce, Feudatari, 25 A
Casalmaggiore, Guglielmo Marconi, 8;Manerbio, INSURREZIONE NAZIONALE;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;Grontardo, Roma, 16;
San Giovanni in Croce, Feudatari, 25 A;Isola Dovarese, Giacomo Matteotti, 1;
;Gussola, Comaschi, 1;
;San Giovanni in Croce, Feudatari, 25 A;
