lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
San Bassano, Mons. Frosi;Cremona, Sesto 39;Sesto ed Uniti, Roma, 4;Cremona, Felice Cavallotti, 2;Crema, Civerchi, 9
Castelleone, Roma, 67;Persico Dosimo, Albert ,7;Grumello Cremonese ed Uniti, Roma, 2;Cremona, Ugolani Dati, 4;Manerbio, INSURREZIONE NAZIONALE
Trigolo, Roma, 26;Grontardo, Roma, 16;Pizzighettone, Giuseppe Garibaldi, 18;Sospiro, Tosi;Ostiano, Mazzini, 1
Fiesco, Giuseppe Parini, 10;Ostiano, Mazzini, 1;Casalpusterlengo, Pusterla 7;San Giovanni in Croce, Feudatari, 25 A;Ostiano, Mazzini, 1
Crema, Civerchi, 9;;Montodine,  XXV Aprile, 10;Solarolo Rainerio, Giuseppina, 81;
Casaletto Vaprio, Maggiore, 7;;Castelleone, Roma, 67;Casalmaggiore, Guglielmo Marconi, 8;
Trescore Cremasco, Vittorio Veneto, 1;;Madignano, Portici, 4;Piadena, Platina, 40;
Pandino, Castello, 15;;Soncino, Dante Alighieri, 23;Ostiano, Mazzini, 1;
Palazzo Pignano, Marco Polo, 31;;Offanengo, Clavelli Martini, 5;;
Vaiano Cremasco,  Gloriosi Caduti, 3;;Spino d'Adda, Circonvallazione, 13;;
Bagnolo Cremasco, Roma, 3;;Pandino, Castello, 15;;
Monte Cremasco, Roma, 12;;Agnadello, Marconi, 6;;
Dovera, Oldrini 2;;Vailate, Dante Alighieri, 7;;
Spino d'Adda, Circonvallazione, 13;;Rivolta d'Adda, Stefano Renzi, 5;;
Rivolta d'Adda, Stefano Renzi, 5;;Crema, Civerchi, 9;;
Capralba, Piave, 2;;Cremona, Ugolani Dati, 4;;
Pianengo, Nenni;;Persico Dosimo, Albert ,7;;
Camisano, Trieste, 57;;Gadesco-Pieve Delmona, Giovanni Lonati 9;;
Casale Cremasco-Vidolasco, Roma, 56;;Vescovato, Roma, 44;;
Sergnano, IV Novembre,  10;;Pescarolo ed Uniti, Giuseppe Mazzini, 73;;
Ricengo, Guglielmo Marconi;;Ostiano, Mazzini, 1;;
Offanengo, Clavelli Martini, 5;;;;
Izano, Gerardo da Izano, 4/C;;;;
Romanengo, Guaiarini, 14;;;;
Soncino, Dante Alighieri, 23;;;;
Manerbio, INSURREZIONE NAZIONALE;;;;
Castelverde, Ubaldo Ferrari, 15;;;;
Soresina, Giacomo Matteotti, 6;;;;
Paderno Ponchielli, Municipio, 3;;;;
Annicco, Giuseppe Garibaldi, 6;;;;
Casalbuttano ed Uniti, Jacini, 23;;;;
Cremona, Ugolani Dati, 4;;;;
Cremona, Palosca n. 2;;;;
Bonemerse, Roma, 25;;;;
Cingia de' Botti, Giuseppina, 79;;;;
Scandolara Ravara, Italia;;;;
Martignana di Po, Libertà, 64;;;;
Gussola, Comaschi, 1;;;;
Casalmaggiore, Guglielmo Marconi, 8;;;;
Viadana, A. Manzoni, 2;;;;
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;;;
Isola Dovarese, Giacomo Matteotti, 1;;;;
Ostiano, Mazzini, 1;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
