lunedi;martedi;mercoledi;giovedi;venerdi
Agnadello, Marconi, 6;Capralba, Piave, 2;Bonemerse, Roma, 25;Annicco, Giuseppe Garibaldi, 6;Casalmaggiore, Guglielmo Marconi, 8
Bagnolo Cremasco, Roma, 3;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Camisano, Trieste, 57;Cingia de' Botti, Giuseppina, 79
Capergnanica, XI febbraio, 7;Sergnano, IV Novembre,  10;Cremona, Ugolani Dati, 4;Crema, Civerchi, 9;Crema, Civerchi, 9
Crema, Civerchi, 9;;Gadesco-Pieve Delmona, Giovanni Lonati 9;Fiesco, Giuseppe Parini, 10;Cremona, Ugolani Dati, 4
Dovera, Oldrini 2;;Gussola, Comaschi, 1;Madignano, Portici, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Izano, Gerardo da Izano, 4/C;;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Grontardo, Roma, 16
Spino d'Adda, Circonvallazione, 13;;Persico Dosimo, Albert ,7;Palazzo Pignano, Marco Polo, 31;Isola Dovarese, Giacomo Matteotti, 1
Trescore Cremasco, Vittorio Veneto, 1;;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Pandino, Castello, 15;Martignana di Po, Libertà, 64
Vaiano Cremasco,  Gloriosi Caduti, 3;;Piadena, Platina, 40;Rivolta d'Adda, Stefano Renzi, 5;Offanengo, Clavelli Martini, 5
Casaletto Vaprio, Maggiore, 7;;Manerbio, INSURREZIONE NAZIONALE;Romanengo, Guaiarini, 14;Pandino, Castello, 15
;;Viadana, A. Manzoni, 2;San Bassano, Mons. Frosi;Piadena, Platina, 40
;;San Giovanni in Croce, Feudatari, 25 A;Soncino, Dante Alighieri, 23;Pizzighettone, Giuseppe Garibaldi, 18
;;Scandolara Ravara, Italia;Soresina, Giacomo Matteotti, 6;Manerbio, INSURREZIONE NAZIONALE
;;Solarolo Rainerio, Giuseppina, 81;Spino d'Adda, Circonvallazione, 13;Rivolta d'Adda, Stefano Renzi, 5
;;Sospiro, Tosi;;Solarolo Rainerio, Giuseppina, 81
;;Vescovato, Roma, 44;;Cremona, Sesto 39
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
