martedi;mercoledi;giovedi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Castelleone, Roma, 67;Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23
Grumello Cremonese ed Uniti, Roma, 2;Crema, Civerchi, 9;Casalpusterlengo, Pusterla 7
Pizzighettone, Giuseppe Garibaldi, 18;Monte Cremasco, Roma, 12;Castelleone, Roma, 67
Trigolo, Roma, 26;Montodine,  XXV Aprile, 10;Castelverde, Ubaldo Ferrari, 15
San Giovanni in Croce, Feudatari, 25 A;Offanengo, Clavelli Martini, 5;Cremona, Ugolani Dati, 4
;Pianengo, Nenni;Ostiano, Mazzini, 1
;Pizzighettone, Giuseppe Garibaldi, 18;Persico Dosimo, Albert ,7
;Ricengo, Guglielmo Marconi;Pescarolo ed Uniti, Giuseppe Mazzini, 73
;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5
;Sesto ed Uniti, Roma, 4;San Giovanni in Croce, Feudatari, 25 A
;Soncino, Dante Alighieri, 23;Vescovato, Roma, 44
;Soresina, Giacomo Matteotti, 6;Cremona, Felice Cavallotti, 2
;Vailate, Dante Alighieri, 7;Cremona, Palosca n. 2
;San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A
