lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Izano, Gerardo da Izano, 4/C;Grumello Cremonese ed Uniti, Roma, 2;Sesto ed Uniti, Roma, 4;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39
Crema, Civerchi, 9;Pizzighettone, Giuseppe Garibaldi, 18;Pizzighettone, Giuseppe Garibaldi, 18;Paderno Ponchielli, Municipio, 3;Cremona, Ugolani Dati, 4
Capergnanica, XI febbraio, 7;Ostiano, Mazzini, 1;Casalpusterlengo, Pusterla 7;Soresina, Giacomo Matteotti, 6;Gadesco-Pieve Delmona, Giovanni Lonati 9
Bagnolo Cremasco, Roma, 3;;Montodine,  XXV Aprile, 10;San Bassano, Mons. Frosi;Grontardo, Roma, 16
Vaiano Cremasco,  Gloriosi Caduti, 3;;Ripalta Cremasca, Roma, 5;Castelleone, Roma, 67;Isola Dovarese, Giacomo Matteotti, 1
Dovera, Oldrini 2;;Crema, Civerchi, 9;Fiesco, Giuseppe Parini, 10;Piadena, Platina, 40
Spino d'Adda, Circonvallazione, 13;;Pianengo, Nenni;Romanengo, Guaiarini, 14;Solarolo Rainerio, Giuseppina, 81
Agnadello, Marconi, 6;;Ricengo, Guglielmo Marconi;Soncino, Dante Alighieri, 23;Cingia de' Botti, Giuseppina, 79
Trescore Cremasco, Vittorio Veneto, 1;;Offanengo, Clavelli Martini, 5;Camisano, Trieste, 57;Martignana di Po, Libertà, 64
Casaletto Vaprio, Maggiore, 7;;Soncino, Dante Alighieri, 23;Madignano, Portici, 4;Casalmaggiore, Guglielmo Marconi, 8
Ostiano, Mazzini, 1;;Soresina, Giacomo Matteotti, 6;Crema, Civerchi, 9;Manerbio, INSURREZIONE NAZIONALE
;;Cremona, Ugolani Dati, 4;Palazzo Pignano, Marco Polo, 31;Offanengo, Clavelli Martini, 5
;;Bonemerse, Roma, 25;Pandino, Castello, 15;Crema, Civerchi, 9
;;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Pandino, Castello, 15
;;Manerbio, INSURREZIONE NAZIONALE;Rivolta d'Adda, Stefano Renzi, 5;Rivolta d'Adda, Stefano Renzi, 5
;;Vailate, Dante Alighieri, 7;Casalpusterlengo, Pusterla 7;Pizzighettone, Giuseppe Garibaldi, 18
;;Monte Cremasco, Roma, 12;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1
;;Ostiano, Mazzini, 1;;
