lunedi;martedi;mercoledi;giovedi;venerdi
Agnadello, Marconi, 6;Capralba, Piave, 2;Bonemerse, Roma, 25;Annicco, Giuseppe Garibaldi, 6;Casalmaggiore, Guglielmo Marconi, 8
Bagnolo Cremasco, Roma, 3;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Camisano, Trieste, 57;Cingia de' Botti, Giuseppina, 79
Capergnanica, XI febbraio, 7;Castelleone, Roma, 67;Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23;Crema, Civerchi, 9
Crema, Civerchi, 9;Grumello Cremonese ed Uniti, Roma, 2;Crema, Civerchi, 9;Casalpusterlengo, Pusterla 7;Cremona, Ugolani Dati, 4
Dovera, Oldrini 2;Pizzighettone, Giuseppe Garibaldi, 18;Cremona, Ugolani Dati, 4;Castelleone, Roma, 67;Gadesco-Pieve Delmona, Giovanni Lonati 9
Izano, Gerardo da Izano, 4/C;Sergnano, IV Novembre,  10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Castelverde, Ubaldo Ferrari, 15;Grontardo, Roma, 16
Spino d'Adda, Circonvallazione, 13;Trigolo, Roma, 26;Gussola, Comaschi, 1;Crema, Civerchi, 9;Isola Dovarese, Giacomo Matteotti, 1
Trescore Cremasco, Vittorio Veneto, 1;;Monte Cremasco, Roma, 12;Cremona, Ugolani Dati, 4;Martignana di Po, Libertà, 64
Vaiano Cremasco,  Gloriosi Caduti, 3;;Montodine,  XXV Aprile, 10;Fiesco, Giuseppe Parini, 10;Offanengo, Clavelli Martini, 5
Casaletto Vaprio, Maggiore, 7;;Offanengo, Clavelli Martini, 5;Madignano, Portici, 4;Pandino, Castello, 15
;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;Piadena, Platina, 40
;;Persico Dosimo, Albert ,7;Paderno Ponchielli, Municipio, 3;Pizzighettone, Giuseppe Garibaldi, 18
;;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Palazzo Pignano, Marco Polo, 31;Manerbio, INSURREZIONE NAZIONALE
;;Piadena, Platina, 40;Pandino, Castello, 15;Rivolta d'Adda, Stefano Renzi, 5
;;Pianengo, Nenni;Persico Dosimo, Albert ,7;Solarolo Rainerio, Giuseppina, 81
;;Pizzighettone, Giuseppe Garibaldi, 18;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Cremona, Sesto 39
;;Manerbio, INSURREZIONE NAZIONALE;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;
;;Viadana, A. Manzoni, 2;Rivolta d'Adda, Stefano Renzi, 5;
;;Ricengo, Guglielmo Marconi;Romanengo, Guaiarini, 14;
;;Ripalta Cremasca, Roma, 5;San Bassano, Mons. Frosi;
;;San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A;
;;Scandolara Ravara, Italia;Soncino, Dante Alighieri, 23;
;;Sesto ed Uniti, Roma, 4;Soresina, Giacomo Matteotti, 6;
;;Solarolo Rainerio, Giuseppina, 81;Spino d'Adda, Circonvallazione, 13;
;;Soncino, Dante Alighieri, 23;Vescovato, Roma, 44;
;;Soresina, Giacomo Matteotti, 6;Cremona, Felice Cavallotti, 2;
;;Sospiro, Tosi;Cremona, Palosca n. 2;
;;Vailate, Dante Alighieri, 7;;
;;Vescovato, Roma, 44;;
