lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Persico Dosimo, Albert ,7;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4;Capergnanica, XI febbraio, 7
Soresina, Giacomo Matteotti, 6;Ostiano, Mazzini, 1;Castelleone, Roma, 67;Persico Dosimo, Albert ,7;Bagnolo Cremasco, Roma, 3
Trigolo, Roma, 26;San Giovanni in Croce, Feudatari, 25 A;Madignano, Portici, 4;Grontardo, Roma, 16;Vaiano Cremasco,  Gloriosi Caduti, 3
Castelleone, Roma, 67;Scandolara Ravara, Italia;Crema, Civerchi, 9;Vescovato, Roma, 44;Monte Cremasco, Roma, 12
Montodine,  XXV Aprile, 10;Casalmaggiore, Guglielmo Marconi, 8;Palazzo Pignano, Marco Polo, 31;Ostiano, Mazzini, 1;Dovera, Oldrini 2
Ripalta Cremasca, Roma, 5;Casalpusterlengo, Pusterla 7;Pandino, Castello, 15;Isola Dovarese, Giacomo Matteotti, 1;Pandino, Castello, 15
Ricengo, Guglielmo Marconi;Crema, Civerchi, 9;Rivolta d'Adda, Stefano Renzi, 5;Piadena, Platina, 40;Agnadello, Marconi, 6
Sergnano, IV Novembre,  10;Vailate, Dante Alighieri, 7;Spino d'Adda, Circonvallazione, 13;San Giovanni in Croce, Feudatari, 25 A;Rivolta d'Adda, Stefano Renzi, 5
Casale Cremasco-Vidolasco, Roma, 56;Ostiano, Mazzini, 1;Romanengo, Guaiarini, 14;Casalmaggiore, Guglielmo Marconi, 8;Spino d'Adda, Circonvallazione, 13
Camisano, Trieste, 57;;Ostiano, Mazzini, 1;Manerbio, INSURREZIONE NAZIONALE;Trescore Cremasco, Vittorio Veneto, 1
Capralba, Piave, 2;;;Izano, Gerardo da Izano, 4/C;Casaletto Vaprio, Maggiore, 7
Soncino, Dante Alighieri, 23;;;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1
Pizzighettone, Giuseppe Garibaldi, 18;;;Crema, Civerchi, 9;
Ostiano, Mazzini, 1;;;Ostiano, Mazzini, 1;
