martedi;mercoledi;giovedi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Ugolani Dati, 4
Cremona, Felice Cavallotti, 2;Casalbuttano ed Uniti, Jacini, 23;Cremona, Ugolani Dati, 4
Bonemerse, Roma, 25;Cremona, Palosca n. 2;Pizzighettone, Giuseppe Garibaldi, 18
Sospiro, Tosi;San Giovanni in Croce, Feudatari, 25 A;Pizzighettone, Giuseppe Garibaldi, 18
Solarolo Rainerio, Giuseppina, 81;;Casalpusterlengo, Pusterla 7
San Giovanni in Croce, Feudatari, 25 A;;Izano, Gerardo da Izano, 4/C
Piadena, Platina, 40;;Offanengo, Clavelli Martini, 5
Scandolara Ravara, Italia;;Crema, Civerchi, 9
Gussola, Comaschi, 1;;Manerbio, INSURREZIONE NAZIONALE
Casalmaggiore, Guglielmo Marconi, 8;;San Giovanni in Croce, Feudatari, 25 A
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;
Viadana, A. Manzoni, 2;;
San Giovanni in Croce, Feudatari, 25 A;;
