lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Persico Dosimo, Albert ,7;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Gadesco-Pieve Delmona, Giovanni Lonati 9;Paderno Ponchielli, Municipio, 3;Persico Dosimo, Albert ,7;Capergnanica, XI febbraio, 7
Pizzighettone, Giuseppe Garibaldi, 18;Vescovato, Roma, 44;Soresina, Giacomo Matteotti, 6;Gadesco-Pieve Delmona, Giovanni Lonati 9;Bagnolo Cremasco, Roma, 3
Soresina, Giacomo Matteotti, 6;Pescarolo ed Uniti, Giuseppe Mazzini, 73;San Bassano, Mons. Frosi;Vescovato, Roma, 44;Vaiano Cremasco,  Gloriosi Caduti, 3
Trigolo, Roma, 26;Ostiano, Mazzini, 1;Castelleone, Roma, 67;Grontardo, Roma, 16;Monte Cremasco, Roma, 12
Castelleone, Roma, 67;Manerbio, INSURREZIONE NAZIONALE;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Dovera, Oldrini 2
Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Romanengo, Guaiarini, 14;Ostiano, Mazzini, 1;Pandino, Castello, 15
Ripalta Cremasca, Roma, 5;Pianengo, Nenni;Soncino, Dante Alighieri, 23;Isola Dovarese, Giacomo Matteotti, 1;Agnadello, Marconi, 6
Ricengo, Guglielmo Marconi;Vailate, Dante Alighieri, 7;Madignano, Portici, 4;Piadena, Platina, 40;Rivolta d'Adda, Stefano Renzi, 5
Camisano, Trieste, 57;Crema, Civerchi, 9;Crema, Civerchi, 9;San Giovanni in Croce, Feudatari, 25 A;Spino d'Adda, Circonvallazione, 13
Casale Cremasco-Vidolasco, Roma, 56;Casalpusterlengo, Pusterla 7;Palazzo Pignano, Marco Polo, 31;Solarolo Rainerio, Giuseppina, 81;Trescore Cremasco, Vittorio Veneto, 1
Sergnano, IV Novembre,  10;Ostiano, Mazzini, 1;Pandino, Castello, 15;Cingia de' Botti, Giuseppina, 79;Casaletto Vaprio, Maggiore, 7
Capralba, Piave, 2;;Spino d'Adda, Circonvallazione, 13;Martignana di Po, Libertà, 64;Ostiano, Mazzini, 1
Soncino, Dante Alighieri, 23;;Rivolta d'Adda, Stefano Renzi, 5;Casalmaggiore, Guglielmo Marconi, 8;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
