martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39
Persico Dosimo, Albert ,7;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4
Ostiano, Mazzini, 1;Castelleone, Roma, 67;Persico Dosimo, Albert ,7
San Giovanni in Croce, Feudatari, 25 A;Madignano, Portici, 4;Grontardo, Roma, 16
Casalmaggiore, Guglielmo Marconi, 8;Bagnolo Cremasco, Roma, 3;Vescovato, Roma, 44
Scandolara Ravara, Italia;Palazzo Pignano, Marco Polo, 31;Ostiano, Mazzini, 1
Casalpusterlengo, Pusterla 7;Pandino, Castello, 15;Isola Dovarese, Giacomo Matteotti, 1
Vailate, Dante Alighieri, 7;Rivolta d'Adda, Stefano Renzi, 5;Piadena, Platina, 40
Crema, Civerchi, 9;Spino d'Adda, Circonvallazione, 13;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;Romanengo, Guaiarini, 14;Casalmaggiore, Guglielmo Marconi, 8
