martedi;mercoledi;giovedi
cremona, sesto 39;cremona, sesto 39;cremona, sesto 39
cremona, felice cavallotti, 2;cremona, palosca n. 2;pizzighettone, giuseppe garibaldi, 18
bonemerse, roma, 25;casalbuttano ed uniti, jacini, 23;cremona, ugolani dati, 4
sospiro, tosi;soresina, giacomo matteotti, 6;gadesco-pieve delmona, giovanni lonati 9
pescarolo ed uniti, giuseppe mazzini, 73;paderno ponchielli, municipio, 3;pescarolo ed uniti, giuseppe mazzini, 73
vescovato, roma, 44;san bassano, mons. frosi;cingia de' botti, giuseppina, 79
gadesco-pieve delmona, giovanni lonati 9;fiesco, giuseppe parini, 10;martignana di po, libertà, 64
piadena, platina, 40;soncino, dante alighieri, 23;solarolo rainerio, giuseppina, 81
solarolo rainerio, giuseppina, 81;san giovanni in croce, feudatari, 25 a;san giovanni in croce, feudatari, 25 a
gussola, comaschi, 1;;
viadana, a. manzoni, 2;;
rivarolo del re ed uniti, giovanni xxiii, 5;;
manerbio, insurrezione nazionale;;
pianengo, nenni;;
offanengo, clavelli martini, 5;;
san giovanni in croce, feudatari, 25 a;;
