col;martedi;mercoledi;giovedi
0;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
0;Cremona, Felice Cavallotti, 2;Cremona, Ugolani Dati, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
0;Cremona, Ugolani Dati, 4;Paderno Ponchielli, Municipio, 3;Vescovato, Roma, 44
0;Pianengo, Nenni;San Bassano, Mons. Frosi;Sospiro, Tosi
0;Sergnano, IV Novembre,  10;Castelleone, Roma, 67;Cingia de' Botti, Giuseppina, 79
0;Camisano, Trieste, 57;Fiesco, Giuseppe Parini, 10;Martignana di Po, Libertà, 64
0;Casale Cremasco-Vidolasco, Roma, 56;Soncino, Dante Alighieri, 23;Gussola, Comaschi, 1
0;Ricengo, Guglielmo Marconi;Soresina, Giacomo Matteotti, 6;Casalmaggiore, Guglielmo Marconi, 8
0;Bonemerse, Roma, 25;Casalbuttano ed Uniti, Jacini, 23;Solarolo Rainerio, Giuseppina, 81
0;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Piadena, Platina, 40;San Giovanni in Croce, Feudatari, 25 A
0;Viadana, A. Manzoni, 2;San Giovanni in Croce, Feudatari, 25 A;
0;Casalmaggiore, Guglielmo Marconi, 8;;
0;Solarolo Rainerio, Giuseppina, 81;;
0;San Giovanni in Croce, Feudatari, 25 A;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
