lunedi;martedi;mercoledi;giovedi;venerdi
Crema, Civerchi, 9;Agnadello, Marconi, 6;Casalmaggiore, Guglielmo Marconi, 8;Bonemerse, Roma, 25;Annicco, Giuseppe Garibaldi, 6
Cremona, Ugolani Dati, 4;Bagnolo Cremasco, Roma, 3;Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23;Casalmaggiore, Guglielmo Marconi, 8
Grontardo, Roma, 16;Camisano, Trieste, 57;Cremona, Ugolani Dati, 4;Castelleone, Roma, 67;Cingia de' Botti, Giuseppina, 79
Gussola, Comaschi, 1;Capergnanica, XI febbraio, 7;Gadesco-Pieve Delmona, Giovanni Lonati 9;Castelverde, Ubaldo Ferrari, 15;Crema, Civerchi, 9
Izano, Gerardo da Izano, 4/C;Capralba, Piave, 2;Offanengo, Clavelli Martini, 5;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4
Martignana di Po, Libertà, 64;Casale Cremasco-Vidolasco, Roma, 56;Ostiano, Mazzini, 1;Madignano, Portici, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Ostiano, Mazzini, 1;Castelleone, Roma, 67;Persico Dosimo, Albert ,7;Palazzo Pignano, Marco Polo, 31;Offanengo, Clavelli Martini, 5
Paderno Ponchielli, Municipio, 3;Crema, Civerchi, 9;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Pandino, Castello, 15;Persico Dosimo, Albert ,7
Pianengo, Nenni;Dovera, Oldrini 2;Piadena, Platina, 40;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Viadana, A. Manzoni, 2;Fiesco, Giuseppe Parini, 10;Pizzighettone, Giuseppe Garibaldi, 18;Rivolta d'Adda, Stefano Renzi, 5;Piadena, Platina, 40
San Bassano, Mons. Frosi;Grumello Cremonese ed Uniti, Roma, 2;Manerbio, INSURREZIONE NAZIONALE;Romanengo, Guaiarini, 14;Manerbio, INSURREZIONE NAZIONALE
Cremona, Felice Cavallotti, 2;Isola Dovarese, Giacomo Matteotti, 1;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;San Giovanni in Croce, Feudatari, 25 A
Cremona, Palosca n. 2;Monte Cremasco, Roma, 12;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Solarolo Rainerio, Giuseppina, 81
Casaletto Vaprio, Maggiore, 7;Montodine,  XXV Aprile, 10;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Soresina, Giacomo Matteotti, 6
Cremona, Sesto 39;Pandino, Castello, 15;Vaiano Cremasco,  Gloriosi Caduti, 3;Trescore Cremasco, Vittorio Veneto, 1;Vescovato, Roma, 44
;Pizzighettone, Giuseppe Garibaldi, 18;Vailate, Dante Alighieri, 7;;
;Ricengo, Guglielmo Marconi;Vescovato, Roma, 44;;
;Ripalta Cremasca, Roma, 5;;;
;Rivolta d'Adda, Stefano Renzi, 5;;;
;Sergnano, IV Novembre,  10;;;
;Sesto ed Uniti, Roma, 4;;;
;Soncino, Dante Alighieri, 23;;;
;Soresina, Giacomo Matteotti, 6;;;
;Spino d'Adda, Circonvallazione, 13;;;
;Trigolo, Roma, 26;;;
