martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Castelleone, Roma, 67;Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23
Soncino, Dante Alighieri, 23;Pizzighettone, Giuseppe Garibaldi, 18;Soncino, Dante Alighieri, 23
Ricengo, Guglielmo Marconi;Vaiano Cremasco,  Gloriosi Caduti, 3;Romanengo, Guaiarini, 14
Sergnano, IV Novembre,  10;Vailate, Dante Alighieri, 7;Trescore Cremasco, Vittorio Veneto, 1
Pandino, Castello, 15;Offanengo, Clavelli Martini, 5;Palazzo Pignano, Marco Polo, 31
Rivolta d'Adda, Stefano Renzi, 5;Cremona, Ugolani Dati, 4;Pandino, Castello, 15
Spino d'Adda, Circonvallazione, 13;Gadesco-Pieve Delmona, Giovanni Lonati 9;Rivolta d'Adda, Stefano Renzi, 5
Dovera, Oldrini 2;San Giovanni in Croce, Feudatari, 25 A;Spino d'Adda, Circonvallazione, 13
Monte Cremasco, Roma, 12;;Crema, Civerchi, 9
Crema, Civerchi, 9;;Madignano, Portici, 4
Ripalta Cremasca, Roma, 5;;Castelleone, Roma, 67
Montodine,  XXV Aprile, 10;;San Giovanni in Croce, Feudatari, 25 A
Pizzighettone, Giuseppe Garibaldi, 18;;
San Giovanni in Croce, Feudatari, 25 A;;
