lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Persico Dosimo, Albert ,7;Casalbuttano ed Uniti, Jacini, 23;Offanengo, Clavelli Martini, 5;Capergnanica, XI febbraio, 7
Pizzighettone, Giuseppe Garibaldi, 18;Casalpusterlengo, Pusterla 7;Paderno Ponchielli, Municipio, 3;Crema, Civerchi, 9;Bagnolo Cremasco, Roma, 3
Castelleone, Roma, 67;Pianengo, Nenni;Soresina, Giacomo Matteotti, 6;Casalpusterlengo, Pusterla 7;Vaiano Cremasco,  Gloriosi Caduti, 3
Montodine,  XXV Aprile, 10;Vailate, Dante Alighieri, 7;Soncino, Dante Alighieri, 23;Pizzighettone, Giuseppe Garibaldi, 18;Monte Cremasco, Roma, 12
Ripalta Cremasca, Roma, 5;Crema, Civerchi, 9;Pandino, Castello, 15;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2
Capralba, Piave, 2;Offanengo, Clavelli Martini, 5;Crema, Civerchi, 9;Persico Dosimo, Albert ,7;Spino d'Adda, Circonvallazione, 13
Sergnano, IV Novembre,  10;Manerbio, INSURREZIONE NAZIONALE;Romanengo, Guaiarini, 14;Grontardo, Roma, 16;Rivolta d'Adda, Stefano Renzi, 5
Camisano, Trieste, 57;Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Agnadello, Marconi, 6
Casale Cremasco-Vidolasco, Roma, 56;Vescovato, Roma, 44;Ostiano, Mazzini, 1;Cingia de' Botti, Giuseppina, 79;Pandino, Castello, 15
Ricengo, Guglielmo Marconi;Solarolo Rainerio, Giuseppina, 81;;Martignana di Po, Libertà, 64;Casaletto Vaprio, Maggiore, 7
Soncino, Dante Alighieri, 23;Gussola, Comaschi, 1;;San Giovanni in Croce, Feudatari, 25 A;Trescore Cremasco, Vittorio Veneto, 1
Trigolo, Roma, 26;Viadana, A. Manzoni, 2;;Isola Dovarese, Giacomo Matteotti, 1;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;;;
