martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Soncino, Dante Alighieri, 23;Persico Dosimo, Albert ,7;San Giovanni in Croce, Feudatari, 25 A
Camisano, Trieste, 57;Vescovato, Roma, 44;San Giovanni in Croce, Feudatari, 25 A
Ricengo, Guglielmo Marconi;Pescarolo ed Uniti, Giuseppe Mazzini, 73;
Capralba, Piave, 2;Gadesco-Pieve Delmona, Giovanni Lonati 9;
Casaletto Vaprio, Maggiore, 7;Cremona, Ugolani Dati, 4;
Palazzo Pignano, Marco Polo, 31;Cremona, Felice Cavallotti, 2;
Pandino, Castello, 15;Bonemerse, Roma, 25;
Rivolta d'Adda, Stefano Renzi, 5;Sospiro, Tosi;
Spino d'Adda, Circonvallazione, 13;Ostiano, Mazzini, 1;
Vaiano Cremasco,  Gloriosi Caduti, 3;Isola Dovarese, Giacomo Matteotti, 1;
Bagnolo Cremasco, Roma, 3;Piadena, Platina, 40;
Capergnanica, XI febbraio, 7;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;
Crema, Civerchi, 9;Viadana, A. Manzoni, 2;
Izano, Gerardo da Izano, 4/C;Casalmaggiore, Guglielmo Marconi, 8;
Trigolo, Roma, 26;Martignana di Po, Libertà, 64;
Soresina, Giacomo Matteotti, 6;Gussola, Comaschi, 1;
Casalbuttano ed Uniti, Jacini, 23;Scandolara Ravara, Italia;
Manerbio, INSURREZIONE NAZIONALE;San Giovanni in Croce, Feudatari, 25 A;
Cremona, Ugolani Dati, 4;San Giovanni in Croce, Feudatari, 25 A;
San Giovanni in Croce, Feudatari, 25 A;;
Ostiano, Mazzini, 1;;
San Giovanni in Croce, Feudatari, 25 A;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
