lunedi;martedi;mercoledi;giovedi;venerdi
Crema, Civerchi, 9;Agnadello, Marconi, 6;Casalmaggiore, Guglielmo Marconi, 8;Bonemerse, Roma, 25;Annicco, Giuseppe Garibaldi, 6
Cremona, Ugolani Dati, 4;Bagnolo Cremasco, Roma, 3;Ostiano, Mazzini, 1;Castelverde, Ubaldo Ferrari, 15;Casalmaggiore, Guglielmo Marconi, 8
Grontardo, Roma, 16;Camisano, Trieste, 57;Persico Dosimo, Albert ,7;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Cingia de' Botti, Giuseppina, 79
Gussola, Comaschi, 1;Capergnanica, XI febbraio, 7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Scandolara Ravara, Italia;Crema, Civerchi, 9
Izano, Gerardo da Izano, 4/C;Capralba, Piave, 2;Piadena, Platina, 40;;Cremona, Ugolani Dati, 4
Martignana di Po, Libertà, 64;Casale Cremasco-Vidolasco, Roma, 56;Manerbio, INSURREZIONE NAZIONALE;;Gadesco-Pieve Delmona, Giovanni Lonati 9
Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;San Giovanni in Croce, Feudatari, 25 A;;Offanengo, Clavelli Martini, 5
Paderno Ponchielli, Municipio, 3;Grumello Cremonese ed Uniti, Roma, 2;Solarolo Rainerio, Giuseppina, 81;;Persico Dosimo, Albert ,7
Pianengo, Nenni;Isola Dovarese, Giacomo Matteotti, 1;Sospiro, Tosi;;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Viadana, A. Manzoni, 2;Sesto ed Uniti, Roma, 4;Vescovato, Roma, 44;;Piadena, Platina, 40
San Bassano, Mons. Frosi;Soresina, Giacomo Matteotti, 6;;;Manerbio, INSURREZIONE NAZIONALE
Cremona, Felice Cavallotti, 2;Trigolo, Roma, 26;;;San Giovanni in Croce, Feudatari, 25 A
Cremona, Palosca n. 2;;;;Solarolo Rainerio, Giuseppina, 81
Casaletto Vaprio, Maggiore, 7;;;;Soresina, Giacomo Matteotti, 6
Cremona, Sesto 39;;;;Vescovato, Roma, 44
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
