martedi;mercoledi;giovedi
Casalbuttano ed Uniti, Jacini, 23;Casalmaggiore, Guglielmo Marconi, 8;Bonemerse, Roma, 25
Casalpusterlengo, Pusterla 7;Cremona, Ugolani Dati, 4;Paderno Ponchielli, Municipio, 3
Cingia de' Botti, Giuseppina, 79;Gadesco-Pieve Delmona, Giovanni Lonati 9;
Cremona, Ugolani Dati, 4;Gussola, Comaschi, 1;
Grontardo, Roma, 16;Isola Dovarese, Giacomo Matteotti, 1;
Pizzighettone, Giuseppe Garibaldi, 18;Martignana di Po, Libertà, 64;
San Giovanni in Croce, Feudatari, 25 A;Ostiano, Mazzini, 1;
Solarolo Rainerio, Giuseppina, 81;Persico Dosimo, Albert ,7;
;Piadena, Platina, 40;
;Viadana, A. Manzoni, 2;
;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;
;Scandolara Ravara, Italia;
;Sospiro, Tosi;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
