lunedi;martedi;mercoledi;giovedi;venerdi
kkk;kkk;kk;kk;kk
Cremona, Sesto 39;Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Cremona, Felice Cavallotti, 2;Cremona, Ugolani Dati, 4
Cremona, Ugolani Dati, 4;Pizzighettone, Giuseppe Garibaldi, 18;Persico Dosimo, Albert ,7;Cremona, Palosca n. 2;Castelverde, Ubaldo Ferrari, 15
Persico Dosimo, Albert ,7;Montodine,  XXV Aprile, 10;Vescovato, Roma, 44;Scandolara Ravara, Italia;Gadesco-Pieve Delmona, Giovanni Lonati 9
Bonemerse, Roma, 25;Ripalta Cremasca, Roma, 5;Ostiano, Mazzini, 1;kkk;Vescovato, Roma, 44
San Giovanni in Croce, Feudatari, 25 A;Capergnanica, XI febbraio, 7;Piadena, Platina, 40;;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Martignana di Po, Libertà, 64;Bagnolo Cremasco, Roma, 3;San Giovanni in Croce, Feudatari, 25 A;;Grontardo, Roma, 16
Casalmaggiore, Guglielmo Marconi, 8;Palazzo Pignano, Marco Polo, 31;Viadana, A. Manzoni, 2;;Ostiano, Mazzini, 1
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Pandino, Castello, 15;Manerbio, INSURREZIONE NAZIONALE;;Piadena, Platina, 40
Isola Dovarese, Giacomo Matteotti, 1;Agnadello, Marconi, 6;kkk;;Solarolo Rainerio, Giuseppina, 81
San Bassano, Mons. Frosi;Rivolta d'Adda, Stefano Renzi, 5;;;Cingia de' Botti, Giuseppina, 79
Izano, Gerardo da Izano, 4/C;Spino d'Adda, Circonvallazione, 13;;;Manerbio, INSURREZIONE NAZIONALE
Crema, Civerchi, 9;Dovera, Oldrini 2;;;Soncino, Dante Alighieri, 23
Pianengo, Nenni;Casaletto Vaprio, Maggiore, 7;;;Offanengo, Clavelli Martini, 5
Trescore Cremasco, Vittorio Veneto, 1;Capralba, Piave, 2;;;Crema, Civerchi, 9
Vaiano Cremasco,  Gloriosi Caduti, 3;Casale Cremasco-Vidolasco, Roma, 56;;;Soresina, Giacomo Matteotti, 6
Vailate, Dante Alighieri, 7;kkk;;;Pizzighettone, Giuseppe Garibaldi, 18
kkk;;;;kkk
