martedi;mercoledi;giovedi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Cremona, Ugolani Dati, 4;Persico Dosimo, Albert ,7;Bonemerse, Roma, 25
Casalbuttano ed Uniti, Jacini, 23;Gadesco-Pieve Delmona, Giovanni Lonati 9;San Giovanni in Croce, Feudatari, 25 A
Trigolo, Roma, 26;Cremona, Ugolani Dati, 4;
Soncino, Dante Alighieri, 23;Cremona, Felice Cavallotti, 2;
Ricengo, Guglielmo Marconi;Sospiro, Tosi;
Camisano, Trieste, 57;Scandolara Ravara, Italia;
Casaletto Vaprio, Maggiore, 7;Gussola, Comaschi, 1;
Palazzo Pignano, Marco Polo, 31;Martignana di Po, Libertà, 64;
Vaiano Cremasco,  Gloriosi Caduti, 3;Casalmaggiore, Guglielmo Marconi, 8;
Bagnolo Cremasco, Roma, 3;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;
Capergnanica, XI febbraio, 7;Viadana, A. Manzoni, 2;
Crema, Civerchi, 9;Piadena, Platina, 40;
Capralba, Piave, 2;Isola Dovarese, Giacomo Matteotti, 1;
Pandino, Castello, 15;Ostiano, Mazzini, 1;
Spino d'Adda, Circonvallazione, 13;San Giovanni in Croce, Feudatari, 25 A;
Rivolta d'Adda, Stefano Renzi, 5;;
San Giovanni in Croce, Feudatari, 25 A;;
