martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Castelleone, Roma, 67;Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23
Pandino, Castello, 15;Pizzighettone, Giuseppe Garibaldi, 18;Castelleone, Roma, 67
Rivolta d'Adda, Stefano Renzi, 5;Cremona, Ugolani Dati, 4;Madignano, Portici, 4
Spino d'Adda, Circonvallazione, 13;Gadesco-Pieve Delmona, Giovanni Lonati 9;Crema, Civerchi, 9
Dovera, Oldrini 2;Offanengo, Clavelli Martini, 5;Trescore Cremasco, Vittorio Veneto, 1
Monte Cremasco, Roma, 12;Vailate, Dante Alighieri, 7;Palazzo Pignano, Marco Polo, 31
Montodine,  XXV Aprile, 10;Vaiano Cremasco,  Gloriosi Caduti, 3;Pandino, Castello, 15
Pizzighettone, Giuseppe Garibaldi, 18;San Giovanni in Croce, Feudatari, 25 A;Rivolta d'Adda, Stefano Renzi, 5
Ripalta Cremasca, Roma, 5;;Spino d'Adda, Circonvallazione, 13
Crema, Civerchi, 9;;Romanengo, Guaiarini, 14
Sergnano, IV Novembre,  10;;Soncino, Dante Alighieri, 23
Ricengo, Guglielmo Marconi;;San Giovanni in Croce, Feudatari, 25 A
Soncino, Dante Alighieri, 23;;
San Giovanni in Croce, Feudatari, 25 A;;
