lunedi;martedi;mercoledi;giovedi;venerdi
Casalmaggiore, Guglielmo Marconi, 8;Bagnolo Cremasco, Roma, 3;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Casalpusterlengo, Pusterla 7
Castelverde, Ubaldo Ferrari, 15;Camisano, Trieste, 57;Casale Cremasco-Vidolasco, Roma, 56;Bonemerse, Roma, 25;Castelleone, Roma, 67
Crema, Civerchi, 9;Capergnanica, XI febbraio, 7;Casalmaggiore, Guglielmo Marconi, 8;Castelleone, Roma, 67;Cremona, Ugolani Dati, 4
Dovera, Oldrini 2;Capralba, Piave, 2;Crema, Civerchi, 9;Crema, Civerchi, 9;Montodine,  XXV Aprile, 10
Gadesco-Pieve Delmona, Giovanni Lonati 9;Casalbuttano ed Uniti, Jacini, 23;Cremona, Ugolani Dati, 4;Fiesco, Giuseppe Parini, 10;Persico Dosimo, Albert ,7
Offanengo, Clavelli Martini, 5;Casalpusterlengo, Pusterla 7;Gadesco-Pieve Delmona, Giovanni Lonati 9;Madignano, Portici, 4;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Ostiano, Mazzini, 1;Cingia de' Botti, Giuseppina, 79;Gussola, Comaschi, 1;Monte Cremasco, Roma, 12;Piadena, Platina, 40
Pescarolo ed Uniti, Giuseppe Mazzini, 73;Crema, Civerchi, 9;Isola Dovarese, Giacomo Matteotti, 1;Paderno Ponchielli, Municipio, 3;Pianengo, Nenni
Manerbio, INSURREZIONE NAZIONALE;Cremona, Ugolani Dati, 4;Izano, Gerardo da Izano, 4/C;Pandino, Castello, 15;Pizzighettone, Giuseppe Garibaldi, 18
Rivolta d'Adda, Stefano Renzi, 5;Grontardo, Roma, 16;Martignana di Po, Libertà, 64;Ripalta Cremasca, Roma, 5;Manerbio, INSURREZIONE NAZIONALE
San Giovanni in Croce, Feudatari, 25 A;Grumello Cremonese ed Uniti, Roma, 2;Offanengo, Clavelli Martini, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi
Soncino, Dante Alighieri, 23;Palazzo Pignano, Marco Polo, 31;Ostiano, Mazzini, 1;Trescore Cremasco, Vittorio Veneto, 1;Solarolo Rainerio, Giuseppina, 81
Soresina, Giacomo Matteotti, 6;Pandino, Castello, 15;Persico Dosimo, Albert ,7;;Soresina, Giacomo Matteotti, 6
Spino d'Adda, Circonvallazione, 13;Pizzighettone, Giuseppe Garibaldi, 18;Piadena, Platina, 40;;Vailate, Dante Alighieri, 7
Vescovato, Roma, 44;Ricengo, Guglielmo Marconi;Pizzighettone, Giuseppe Garibaldi, 18;;Vescovato, Roma, 44
Cremona, Sesto 39;Rivolta d'Adda, Stefano Renzi, 5;Viadana, A. Manzoni, 2;;Cremona, Palosca n. 2
;San Giovanni in Croce, Feudatari, 25 A;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;
;Solarolo Rainerio, Giuseppina, 81;Scandolara Ravara, Italia;;
;Soncino, Dante Alighieri, 23;Sergnano, IV Novembre,  10;;
;Spino d'Adda, Circonvallazione, 13;Sesto ed Uniti, Roma, 4;;
;Trigolo, Roma, 26;Sospiro, Tosi;;
;Vaiano Cremasco,  Gloriosi Caduti, 3;Cremona, Felice Cavallotti, 2;;
;Casaletto Vaprio, Maggiore, 7;;;
