martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Felice Cavallotti, 2;Cremona, Palosca;Cremona, sesto
Casalpusterlengo;Casalbuttano;pizzighettone
Crema, Civerchi;Castelverde;casalpusterlengo
Vailate;San Giovanni in Croce, Feudatari, 25 A;pizzighettone, giuseppe
Pianengo;;izano
Offanengo;;offanengo
Ostiano;;Crema, Civerchi, 9
Persico Dosimo;;casalmaggiore
Gadesco;;san giovanni
Pescarolo;;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;;
