lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4;Capergnanica, XI febbraio, 7
Grumello Cremonese ed Uniti, Roma, 2;Manerbio, INSURREZIONE NAZIONALE;Paderno Ponchielli, Municipio, 3;Cremona, Ugolani Dati, 4;Bagnolo Cremasco, Roma, 3
Pizzighettone, Giuseppe Garibaldi, 18;Bonemerse, Roma, 25;San Bassano, Mons. Frosi;Manerbio, INSURREZIONE NAZIONALE;Vaiano Cremasco,  Gloriosi Caduti, 3
Castelleone, Roma, 67;Sospiro, Tosi;Castelleone, Roma, 67;Persico Dosimo, Albert ,7;Monte Cremasco, Roma, 12
Montodine,  XXV Aprile, 10;Scandolara Ravara, Italia;Madignano, Portici, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9;Dovera, Oldrini 2
Ripalta Cremasca, Roma, 5;Gussola, Comaschi, 1;Crema, Civerchi, 9;Vescovato, Roma, 44;Spino d'Adda, Circonvallazione, 13
Camisano, Trieste, 57;Casalmaggiore, Guglielmo Marconi, 8;Palazzo Pignano, Marco Polo, 31;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Rivolta d'Adda, Stefano Renzi, 5
Casale Cremasco-Vidolasco, Roma, 56;Viadana, A. Manzoni, 2;Pandino, Castello, 15;Grontardo, Roma, 16;Pandino, Castello, 15
Sergnano, IV Novembre,  10;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Cingia de' Botti, Giuseppina, 79;Trescore Cremasco, Vittorio Veneto, 1
Capralba, Piave, 2;Solarolo Rainerio, Giuseppina, 81;Spino d'Adda, Circonvallazione, 13;Martignana di Po, Libertà, 64;Casaletto Vaprio, Maggiore, 7
Ricengo, Guglielmo Marconi;San Giovanni in Croce, Feudatari, 25 A;Fiesco, Giuseppe Parini, 10;Solarolo Rainerio, Giuseppina, 81;Crema, Civerchi, 9
Trigolo, Roma, 26;Piadena, Platina, 40;Romanengo, Guaiarini, 14;Piadena, Platina, 40;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;Vescovato, Roma, 44;Soncino, Dante Alighieri, 23;Isola Dovarese, Giacomo Matteotti, 1;
Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;Soresina, Giacomo Matteotti, 6;Ostiano, Mazzini, 1;
;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
