lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4;Vaiano Cremasco,  Gloriosi Caduti, 3
Grumello Cremonese ed Uniti, Roma, 2;Manerbio, INSURREZIONE NAZIONALE;Paderno Ponchielli, Municipio, 3;Cremona, Ugolani Dati, 4;Monte Cremasco, Roma, 12
Pizzighettone, Giuseppe Garibaldi, 18;Bonemerse, Roma, 25;San Bassano, Mons. Frosi;Grontardo, Roma, 16;Spino d'Adda, Circonvallazione, 13
Montodine,  XXV Aprile, 10;Sospiro, Tosi;Castelleone, Roma, 67;Ostiano, Mazzini, 1;Pandino, Castello, 15
Ripalta Cremasca, Roma, 5;Vescovato, Roma, 44;Spino d'Adda, Circonvallazione, 13;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Trescore Cremasco, Vittorio Veneto, 1
Ricengo, Guglielmo Marconi;Piadena, Platina, 40;Rivolta d'Adda, Stefano Renzi, 5;Vescovato, Roma, 44;Casaletto Vaprio, Maggiore, 7
Capralba, Piave, 2;San Giovanni in Croce, Feudatari, 25 A;Pandino, Castello, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9
Sergnano, IV Novembre,  10;Solarolo Rainerio, Giuseppina, 81;Palazzo Pignano, Marco Polo, 31;Martignana di Po, Libertà, 64;Capergnanica, XI febbraio, 7
Casale Cremasco-Vidolasco, Roma, 56;Scandolara Ravara, Italia;Crema, Civerchi, 9;Solarolo Rainerio, Giuseppina, 81;Bagnolo Cremasco, Roma, 3
Camisano, Trieste, 57;Gussola, Comaschi, 1;Madignano, Portici, 4;Persico Dosimo, Albert ,7;Rivolta d'Adda, Stefano Renzi, 5
Soncino, Dante Alighieri, 23;Casalmaggiore, Guglielmo Marconi, 8;Soresina, Giacomo Matteotti, 6;Manerbio, INSURREZIONE NAZIONALE;Agnadello, Marconi, 6
Soresina, Giacomo Matteotti, 6;Viadana, A. Manzoni, 2;Soncino, Dante Alighieri, 23;Gadesco-Pieve Delmona, Giovanni Lonati 9;Dovera, Oldrini 2
Trigolo, Roma, 26;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Romanengo, Guaiarini, 14;Piadena, Platina, 40;Ostiano, Mazzini, 1
Castelleone, Roma, 67;Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;Isola Dovarese, Giacomo Matteotti, 1;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
