martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Sesto 39
Casalpusterlengo, Pusterla 7;Casalbuttano ed Uniti, Jacini, 23;Casalpusterlengo, Pusterla 7
Crema, Civerchi, 9;Castelverde, Ubaldo Ferrari, 15;Pizzighettone, Giuseppe Garibaldi, 18
Pianengo, Nenni;San Giovanni in Croce, Feudatari, 25 A;Pizzighettone, Giuseppe Garibaldi, 18
Vailate, Dante Alighieri, 7;;Izano, Gerardo da Izano, 4/C
Offanengo, Clavelli Martini, 5;;Offanengo, Clavelli Martini, 5
Persico Dosimo, Albert ,7;;Crema, Civerchi, 9
Gadesco-Pieve Delmona, Giovanni Lonati 9;;Casalmaggiore, Guglielmo Marconi, 8
Pescarolo ed Uniti, Giuseppe Mazzini, 73;;San Giovanni in Croce, Feudatari, 25 A
Ostiano, Mazzini, 1;;
San Giovanni in Croce, Feudatari, 25 A;;
