lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Scandolara Ravara, Italia;Annicco, Giuseppe Garibaldi, 6;Persico Dosimo, Albert ,7;Capergnanica, XI febbraio, 7
Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Paderno Ponchielli, Municipio, 3;Gadesco-Pieve Delmona, Giovanni Lonati 9;Crema, Civerchi, 9
Pizzighettone, Giuseppe Garibaldi, 18;Casalmaggiore, Guglielmo Marconi, 8;Soresina, Giacomo Matteotti, 6;Cremona, Ugolani Dati, 4;Casaletto Vaprio, Maggiore, 7
Castelleone, Roma, 67;Viadana, A. Manzoni, 2;San Bassano, Mons. Frosi;Cremona, Ugolani Dati, 4;Trescore Cremasco, Vittorio Veneto, 1
Montodine,  XXV Aprile, 10;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Madignano, Portici, 4;Manerbio, INSURREZIONE NAZIONALE;Monte Cremasco, Roma, 12
Ripalta Cremasca, Roma, 5;Piadena, Platina, 40;Palazzo Pignano, Marco Polo, 31;Grontardo, Roma, 16;Vaiano Cremasco,  Gloriosi Caduti, 3
Camisano, Trieste, 57;San Giovanni in Croce, Feudatari, 25 A;Pandino, Castello, 15;Vescovato, Roma, 44;Bagnolo Cremasco, Roma, 3
Casale Cremasco-Vidolasco, Roma, 56;Solarolo Rainerio, Giuseppina, 81;Rivolta d'Adda, Stefano Renzi, 5;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Dovera, Oldrini 2
Sergnano, IV Novembre,  10;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Cingia de' Botti, Giuseppina, 79;Spino d'Adda, Circonvallazione, 13
Capralba, Piave, 2;Bonemerse, Roma, 25;Crema, Civerchi, 9;Solarolo Rainerio, Giuseppina, 81;Pandino, Castello, 15
Ricengo, Guglielmo Marconi;Cremona, Ugolani Dati, 4;Romanengo, Guaiarini, 14;Martignana di Po, Libertà, 64;Agnadello, Marconi, 6
Soncino, Dante Alighieri, 23;Manerbio, INSURREZIONE NAZIONALE;Soncino, Dante Alighieri, 23;Piadena, Platina, 40;Rivolta d'Adda, Stefano Renzi, 5
Trigolo, Roma, 26;Vescovato, Roma, 44;Fiesco, Giuseppe Parini, 10;Isola Dovarese, Giacomo Matteotti, 1;Ostiano, Mazzini, 1
Soresina, Giacomo Matteotti, 6;Ostiano, Mazzini, 1;Castelleone, Roma, 67;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
