martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Persico Dosimo, Albert ,7;Casalbuttano ed Uniti, Jacini, 23;Casalmaggiore, Guglielmo Marconi, 8
Cremona, Felice Cavallotti, 2;Castelverde, Ubaldo Ferrari, 15;San Giovanni in Croce, Feudatari, 25 A
Crema, Civerchi, 9;Cremona, Palosca n. 2;Pizzighettone, Giuseppe Garibaldi, 18
Offanengo, Clavelli Martini, 5;San Giovanni in Croce, Feudatari, 25 A;Pizzighettone, Giuseppe Garibaldi, 18
Pianengo, Nenni;;Casalpusterlengo, Pusterla 7
Vailate, Dante Alighieri, 7;;Crema, Civerchi, 9
Casalpusterlengo, Pusterla 7;;Offanengo, Clavelli Martini, 5
Gadesco-Pieve Delmona, Giovanni Lonati 9;;Izano, Gerardo da Izano, 4/C
Pescarolo ed Uniti, Giuseppe Mazzini, 73;;Cremona, Sesto 39
Ostiano, Mazzini, 1;;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;;
