lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Viadana, A. Manzoni, 2;Palazzo Pignano, Marco Polo, 31;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Casaletto Vaprio, Maggiore, 7
Ripalta Cremasca, Roma, 5;Scandolara Ravara, Italia;Romanengo, Guaiarini, 14;Persico Dosimo, Albert ,7;Capergnanica, XI febbraio, 7
Grumello Cremonese ed Uniti, Roma, 2;San Giovanni in Croce, Feudatari, 25 A;San Bassano, Mons. Frosi;Vescovato, Roma, 44;Bagnolo Cremasco, Roma, 3
Sergnano, IV Novembre,  10;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Fiesco, Giuseppe Parini, 10;Cingia de' Botti, Giuseppina, 79;Monte Cremasco, Roma, 12
Soresina, Giacomo Matteotti, 6;Vescovato, Roma, 44;Annicco, Giuseppe Garibaldi, 6;Solarolo Rainerio, Giuseppina, 81;Trescore Cremasco, Vittorio Veneto, 1
Trigolo, Roma, 26;Sospiro, Tosi;Paderno Ponchielli, Municipio, 3;Gadesco-Pieve Delmona, Giovanni Lonati 9;Pandino, Castello, 15
Ricengo, Guglielmo Marconi;Bonemerse, Roma, 25;Crema, Civerchi, 9;Ostiano, Mazzini, 1;Spino d'Adda, Circonvallazione, 13
Capralba, Piave, 2;Gussola, Comaschi, 1;Pandino, Castello, 15;Isola Dovarese, Giacomo Matteotti, 1;Dovera, Oldrini 2
Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Rivolta d'Adda, Stefano Renzi, 5;Cremona, Ugolani Dati, 4;Agnadello, Marconi, 6
Montodine,  XXV Aprile, 10;Manerbio, INSURREZIONE NAZIONALE;Madignano, Portici, 4;Grontardo, Roma, 16;Vaiano Cremasco,  Gloriosi Caduti, 3
Pizzighettone, Giuseppe Garibaldi, 18;Cremona, Ugolani Dati, 4;Soresina, Giacomo Matteotti, 6;Martignana di Po, Libertà, 64;Rivolta d'Adda, Stefano Renzi, 5
Soncino, Dante Alighieri, 23;Piadena, Platina, 40;Soncino, Dante Alighieri, 23;Cremona, Ugolani Dati, 4;Crema, Civerchi, 9
Camisano, Trieste, 57;Solarolo Rainerio, Giuseppina, 81;Spino d'Adda, Circonvallazione, 13;Manerbio, INSURREZIONE NAZIONALE;Ostiano, Mazzini, 1
Castelleone, Roma, 67;Ostiano, Mazzini, 1;Castelleone, Roma, 67;Piadena, Platina, 40;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
