martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Offanengo, Clavelli Martini, 5;Castelverde, Ubaldo Ferrari, 15;Casalmaggiore, Guglielmo Marconi, 8
Persico Dosimo, Albert ,7;Cremona, Palosca n. 2;Offanengo, Clavelli Martini, 5
Vailate, Dante Alighieri, 7;Casalbuttano ed Uniti, Jacini, 23;Pizzighettone, Giuseppe Garibaldi, 18
Gadesco-Pieve Delmona, Giovanni Lonati 9;San Giovanni in Croce, Feudatari, 25 A;Crema, Civerchi, 9
Crema, Civerchi, 9;;Casalpusterlengo, Pusterla 7
Casalpusterlengo, Pusterla 7;;San Giovanni in Croce, Feudatari, 25 A
Pescarolo ed Uniti, Giuseppe Mazzini, 73;;Izano, Gerardo da Izano, 4/C
Ostiano, Mazzini, 1;;Pizzighettone, Giuseppe Garibaldi, 18
Cremona, Felice Cavallotti, 2;;Cremona, Sesto 39
Pianengo, Nenni;;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;;
