lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Scandolara Ravara, Italia;Annicco, Giuseppe Garibaldi, 6;Persico Dosimo, Albert ,7;Capergnanica, XI febbraio, 7
Grumello Cremonese ed Uniti, Roma, 2;Solarolo Rainerio, Giuseppina, 81;Paderno Ponchielli, Municipio, 3;Gadesco-Pieve Delmona, Giovanni Lonati 9;Crema, Civerchi, 9
Pizzighettone, Giuseppe Garibaldi, 18;San Giovanni in Croce, Feudatari, 25 A;Soresina, Giacomo Matteotti, 6;Vescovato, Roma, 44;Bagnolo Cremasco, Roma, 3
Soresina, Giacomo Matteotti, 6;Piadena, Platina, 40;San Bassano, Mons. Frosi;Grontardo, Roma, 16;Vaiano Cremasco,  Gloriosi Caduti, 3
Trigolo, Roma, 26;Vescovato, Roma, 44;Crema, Civerchi, 9;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Monte Cremasco, Roma, 12
Soncino, Dante Alighieri, 23;Cremona, Ugolani Dati, 4;Palazzo Pignano, Marco Polo, 31;Cingia de' Botti, Giuseppina, 79;Trescore Cremasco, Vittorio Veneto, 1
Ricengo, Guglielmo Marconi;Manerbio, INSURREZIONE NAZIONALE;Pandino, Castello, 15;Solarolo Rainerio, Giuseppina, 81;Casaletto Vaprio, Maggiore, 7
Capralba, Piave, 2;Bonemerse, Roma, 25;Rivolta d'Adda, Stefano Renzi, 5;Martignana di Po, Libertà, 64;Pandino, Castello, 15
Sergnano, IV Novembre,  10;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Piadena, Platina, 40;Spino d'Adda, Circonvallazione, 13
Casale Cremasco-Vidolasco, Roma, 56;Gussola, Comaschi, 1;Madignano, Portici, 4;Isola Dovarese, Giacomo Matteotti, 1;Dovera, Oldrini 2
Camisano, Trieste, 57;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Romanengo, Guaiarini, 14;Ostiano, Mazzini, 1;Agnadello, Marconi, 6
Ripalta Cremasca, Roma, 5;Viadana, A. Manzoni, 2;Soncino, Dante Alighieri, 23;Cremona, Ugolani Dati, 4;Rivolta d'Adda, Stefano Renzi, 5
Montodine,  XXV Aprile, 10;Casalmaggiore, Guglielmo Marconi, 8;Fiesco, Giuseppe Parini, 10;Cremona, Ugolani Dati, 4;Ostiano, Mazzini, 1
Castelleone, Roma, 67;Ostiano, Mazzini, 1;Castelleone, Roma, 67;Manerbio, INSURREZIONE NAZIONALE;
Ostiano, Mazzini, 1;;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;
