martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Persico Dosimo, Albert ,7;Casalbuttano ed Uniti, Jacini, 23;Casalmaggiore, Guglielmo Marconi, 8
Gadesco-Pieve Delmona, Giovanni Lonati 9;Castelverde, Ubaldo Ferrari, 15;San Giovanni in Croce, Feudatari, 25 A
Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Izano, Gerardo da Izano, 4/C
Crema, Civerchi, 9;San Giovanni in Croce, Feudatari, 25 A;Offanengo, Clavelli Martini, 5
Offanengo, Clavelli Martini, 5;;Crema, Civerchi, 9
Pianengo, Nenni;;Casalpusterlengo, Pusterla 7
Vailate, Dante Alighieri, 7;;Pizzighettone, Giuseppe Garibaldi, 18
Casalpusterlengo, Pusterla 7;;Pizzighettone, Giuseppe Garibaldi, 18
Pescarolo ed Uniti, Giuseppe Mazzini, 73;;Cremona, Sesto 39
Ostiano, Mazzini, 1;;San Giovanni in Croce, Feudatari, 25 A
San Giovanni in Croce, Feudatari, 25 A;;
