lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Castelverde, Ubaldo Ferrari, 15;Paderno Ponchielli, Municipio, 3;San Bassano, Mons. Frosi;Cremona, Sesto 39;Persico Dosimo, Albert ,7
Cremona, Ugolani Dati, 4;Soresina, Giacomo Matteotti, 6;Castelleone, Roma, 67;Sesto ed Uniti, Roma, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Casalpusterlengo, Pusterla 7;Izano, Gerardo da Izano, 4/C;Crema, Civerchi, 9;Grumello Cremonese ed Uniti, Roma, 2;Rivolta d'Adda, Stefano Renzi, 5
Bagnolo Cremasco, Roma, 3;Crema, Civerchi, 9;Trescore Cremasco, Vittorio Veneto, 1;Annicco, Giuseppe Garibaldi, 6;Ricengo, Guglielmo Marconi
Ripalta Cremasca, Roma, 5;Vaiano Cremasco,  Gloriosi Caduti, 3;Palazzo Pignano, Marco Polo, 31;Casalpusterlengo, Pusterla 7;Madignano, Portici, 4
Soresina, Giacomo Matteotti, 6;Monte Cremasco, Roma, 12;Pandino, Castello, 15;Montodine,  XXV Aprile, 10;Castelleone, Roma, 67
Soncino, Dante Alighieri, 23;Dovera, Oldrini 2;Agnadello, Marconi, 6;Capergnanica, XI febbraio, 7;Pizzighettone, Giuseppe Garibaldi, 18
Manerbio, INSURREZIONE NAZIONALE;Pandino, Castello, 15;Capralba, Piave, 2;Spino d'Adda, Circonvallazione, 13;Sospiro, Tosi
Gadesco-Pieve Delmona, Giovanni Lonati 9;Rivolta d'Adda, Stefano Renzi, 5;Pianengo, Nenni;Crema, Civerchi, 9;Solarolo Rainerio, Giuseppina, 81
Grontardo, Roma, 16;Vailate, Dante Alighieri, 7;Camisano, Trieste, 57;Sergnano, IV Novembre,  10;Isola Dovarese, Giacomo Matteotti, 1
Gussola, Comaschi, 1;Casaletto Vaprio, Maggiore, 7;Offanengo, Clavelli Martini, 5;Offanengo, Clavelli Martini, 5;Pescarolo ed Uniti, Giuseppe Mazzini, 73
San Giovanni in Croce, Feudatari, 25 A;Casale Cremasco-Vidolasco, Roma, 56;Fiesco, Giuseppe Parini, 10;Romanengo, Guaiarini, 14;Ostiano, Mazzini, 1
Ostiano, Mazzini, 1;Casalmaggiore, Guglielmo Marconi, 8;Trigolo, Roma, 26;Soncino, Dante Alighieri, 23;
;Viadana, A. Manzoni, 2;Pizzighettone, Giuseppe Garibaldi, 18;Casalbuttano ed Uniti, Jacini, 23;
;Ostiano, Mazzini, 1;Cremona, Felice Cavallotti, 2;Ostiano, Mazzini, 1;
;;Manerbio, INSURREZIONE NAZIONALE;;
;;Ostiano, Mazzini, 1;;
