martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Pizzighettone, Giuseppe Garibaldi, 18;Persico Dosimo, Albert ,7;Cremona, Ugolani Dati, 4
Cremona, Ugolani Dati, 4;Spino d'Adda, Circonvallazione, 13;Cremona, Palosca n. 2
Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Bonemerse, Roma, 25
Solarolo Rainerio, Giuseppina, 81;Vescovato, Roma, 44;Vescovato, Roma, 44
Casalmaggiore, Guglielmo Marconi, 8;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Ostiano, Mazzini, 1
Martignana di Po, Libertà, 64;Ostiano, Mazzini, 1;Piadena, Platina, 40
Piadena, Platina, 40;San Giovanni in Croce, Feudatari, 25 A;Rivarolo del Re ed Uniti, Giovanni XXIII, 5
San Giovanni in Croce, Feudatari, 25 A;;Scandolara Ravara, Italia
San Giovanni in Croce, Feudatari, 25 A;;San Giovanni in Croce, Feudatari, 25 A
