lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Grumello Cremonese ed Uniti, Roma, 2;Spino d'Adda, Circonvallazione, 13;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Cremona, Ugolani Dati, 4
Crema, Civerchi, 9;Monte Cremasco, Roma, 12;Casalbuttano ed Uniti, Jacini, 23;Grontardo, Roma, 16;Gadesco-Pieve Delmona, Giovanni Lonati 9
Dovera, Oldrini 2;Capergnanica, XI febbraio, 7;Annicco, Giuseppe Garibaldi, 6;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Vescovato, Roma, 44
Bagnolo Cremasco, Roma, 3;Ripalta Cremasca, Roma, 5;Casalpusterlengo, Pusterla 7;Vescovato, Roma, 44;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Palazzo Pignano, Marco Polo, 31;Crema, Civerchi, 9;Crema, Civerchi, 9;Ostiano, Mazzini, 1;Ostiano, Mazzini, 1
Pandino, Castello, 15;Offanengo, Clavelli Martini, 5;Izano, Gerardo da Izano, 4/C;;
Rivolta d'Adda, Stefano Renzi, 5;Soncino, Dante Alighieri, 23;Romanengo, Guaiarini, 14;;
Spino d'Adda, Circonvallazione, 13;Fiesco, Giuseppe Parini, 10;Soncino, Dante Alighieri, 23;;
San Bassano, Mons. Frosi;Trigolo, Roma, 26;Offanengo, Clavelli Martini, 5;;
Montodine,  XXV Aprile, 10;Camisano, Trieste, 57;Ricengo, Guglielmo Marconi;;
Castelleone, Roma, 67;Vaiano Cremasco,  Gloriosi Caduti, 3;Casale Cremasco-Vidolasco, Roma, 56;;
Soresina, Giacomo Matteotti, 6;Pizzighettone, Giuseppe Garibaldi, 18;Sergnano, IV Novembre,  10;;
Paderno Ponchielli, Municipio, 3;Gadesco-Pieve Delmona, Giovanni Lonati 9;Rivolta d'Adda, Stefano Renzi, 5;;
Pizzighettone, Giuseppe Garibaldi, 18;Persico Dosimo, Albert ,7;Pandino, Castello, 15;;
Cremona, Felice Cavallotti, 2;Viadana, A. Manzoni, 2;Agnadello, Marconi, 6;;
Cremona, Ugolani Dati, 4;Casalmaggiore, Guglielmo Marconi, 8;Vailate, Dante Alighieri, 7;;
Sospiro, Tosi;Piadena, Platina, 40;Capralba, Piave, 2;;
Cingia de' Botti, Giuseppina, 79;Ostiano, Mazzini, 1;Casaletto Vaprio, Maggiore, 7;;
Solarolo Rainerio, Giuseppina, 81;;Trescore Cremasco, Vittorio Veneto, 1;;
Gussola, Comaschi, 1;;Pianengo, Nenni;;
Martignana di Po, Libertà, 64;;Soresina, Giacomo Matteotti, 6;;
San Giovanni in Croce, Feudatari, 25 A;;Manerbio, INSURREZIONE NAZIONALE;;
Isola Dovarese, Giacomo Matteotti, 1;;Ostiano, Mazzini, 1;;
Ostiano, Mazzini, 1;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
