lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Castelverde, Ubaldo Ferrari, 15;Paderno Ponchielli, Municipio, 3;San Bassano, Mons. Frosi;Cremona, Sesto 39;Persico Dosimo, Albert ,7
Cremona, Ugolani Dati, 4;Soresina, Giacomo Matteotti, 6;Castelleone, Roma, 67;Sesto ed Uniti, Roma, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Gadesco-Pieve Delmona, Giovanni Lonati 9;Izano, Gerardo da Izano, 4/C;Fiesco, Giuseppe Parini, 10;Grumello Cremonese ed Uniti, Roma, 2;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Grontardo, Roma, 16;Crema, Civerchi, 9;Trigolo, Roma, 26;Annicco, Giuseppe Garibaldi, 6;Sospiro, Tosi
San Giovanni in Croce, Feudatari, 25 A;Casaletto Vaprio, Maggiore, 7;Offanengo, Clavelli Martini, 5;Casalbuttano ed Uniti, Jacini, 23;Solarolo Rainerio, Giuseppina, 81
Gussola, Comaschi, 1;Pandino, Castello, 15;Pianengo, Nenni;Soncino, Dante Alighieri, 23;Isola Dovarese, Giacomo Matteotti, 1
Manerbio, INSURREZIONE NAZIONALE;Dovera, Oldrini 2;Trescore Cremasco, Vittorio Veneto, 1;Romanengo, Guaiarini, 14;Pizzighettone, Giuseppe Garibaldi, 18
Soncino, Dante Alighieri, 23;Vaiano Cremasco,  Gloriosi Caduti, 3;Palazzo Pignano, Marco Polo, 31;Offanengo, Clavelli Martini, 5;Castelleone, Roma, 67
Soresina, Giacomo Matteotti, 6;Monte Cremasco, Roma, 12;Pandino, Castello, 15;Sergnano, IV Novembre,  10;Madignano, Portici, 4
Ripalta Cremasca, Roma, 5;Rivolta d'Adda, Stefano Renzi, 5;Agnadello, Marconi, 6;Crema, Civerchi, 9;Ricengo, Guglielmo Marconi
Bagnolo Cremasco, Roma, 3;Vailate, Dante Alighieri, 7;Capralba, Piave, 2;Capergnanica, XI febbraio, 7;Rivolta d'Adda, Stefano Renzi, 5
Casalpusterlengo, Pusterla 7;Casale Cremasco-Vidolasco, Roma, 56;Crema, Civerchi, 9;Montodine,  XXV Aprile, 10;Ostiano, Mazzini, 1
Ostiano, Mazzini, 1;Casalmaggiore, Guglielmo Marconi, 8;Camisano, Trieste, 57;Casalpusterlengo, Pusterla 7;
;Viadana, A. Manzoni, 2;Pizzighettone, Giuseppe Garibaldi, 18;Spino d'Adda, Circonvallazione, 13;
;Ostiano, Mazzini, 1;Cremona, Felice Cavallotti, 2;Ostiano, Mazzini, 1;
;;Manerbio, INSURREZIONE NAZIONALE;;
;;Ostiano, Mazzini, 1;;
